EnvFac	EnvFacLong	TimeGroup	GP	values
Sulfate	Sulfate concentration (mM)	D00	Control	32.29166667
Sulfate	Sulfate concentration (mM)	D00	Control	27.3125
Sulfate	Sulfate concentration (mM)	D00	Control	24.98958333
Sulfate	Sulfate concentration (mM)	D00	Control	32.38541667
Sulfate	Sulfate concentration (mM)	D00	Control	29.64583333
Sulfate	Sulfate concentration (mM)	D00	Control	34.07291667
Sulfate	Sulfate concentration (mM)	D00	Treat	33.76041667
Sulfate	Sulfate concentration (mM)	D00	Treat	34.01041667
Sulfate	Sulfate concentration (mM)	D00	Treat	NA
Sulfate	Sulfate concentration (mM)	D00	Treat	40.813
Sulfate	Sulfate concentration (mM)	D00	Treat	NA
Sulfate	Sulfate concentration (mM)	D00	Treat	22.21875
Sulfate	Sulfate concentration (mM)	D05	Control	35.1875
Sulfate	Sulfate concentration (mM)	D05	Control	26.04166667
Sulfate	Sulfate concentration (mM)	D05	Control	26.34375
Sulfate	Sulfate concentration (mM)	D05	Control	25.44791667
Sulfate	Sulfate concentration (mM)	D05	Control	30.52083333
Sulfate	Sulfate concentration (mM)	D05	Control	27.35416667
Sulfate	Sulfate concentration (mM)	D05	Treat	13.35416667
Sulfate	Sulfate concentration (mM)	D05	Treat	35.23958333
Sulfate	Sulfate concentration (mM)	D05	Treat	17.14583333
Sulfate	Sulfate concentration (mM)	D05	Treat	NA
Sulfate	Sulfate concentration (mM)	D05	Treat	NA
Sulfate	Sulfate concentration (mM)	D05	Treat	NA
Sulfate	Sulfate concentration (mM)	D12	Control	7.09375
Sulfate	Sulfate concentration (mM)	D12	Control	7.125
Sulfate	Sulfate concentration (mM)	D12	Control	2.6875
Sulfate	Sulfate concentration (mM)	D12	Control	6.854166667
Sulfate	Sulfate concentration (mM)	D12	Control	6.239583333
Sulfate	Sulfate concentration (mM)	D12	Control	10.86458333
Sulfate	Sulfate concentration (mM)	D12	Treat	21.90625
Sulfate	Sulfate concentration (mM)	D12	Treat	36.77083333
Sulfate	Sulfate concentration (mM)	D12	Treat	NA
Sulfate	Sulfate concentration (mM)	D12	Treat	38.302
Sulfate	Sulfate concentration (mM)	D12	Treat	29.35416667
Sulfate	Sulfate concentration (mM)	D12	Treat	NA
Sulfate	Sulfate concentration (mM)	D21	Control	NA
Sulfate	Sulfate concentration (mM)	D21	Control	1.552083333
Sulfate	Sulfate concentration (mM)	D21	Control	1.572916667
Sulfate	Sulfate concentration (mM)	D21	Control	1.572916667
Sulfate	Sulfate concentration (mM)	D21	Control	1.46875
Sulfate	Sulfate concentration (mM)	D21	Control	1.739583333
Sulfate	Sulfate concentration (mM)	D21	Treat	NA
Sulfate	Sulfate concentration (mM)	D21	Treat	NA
Sulfate	Sulfate concentration (mM)	D21	Treat	33.71875
Sulfate	Sulfate concentration (mM)	D21	Treat	34.604
Sulfate	Sulfate concentration (mM)	D21	Treat	33.57291667
Sulfate	Sulfate concentration (mM)	D21	Treat	34.61458333
Sulfate	Sulfate concentration (mM)	D30	Control	1.666666667
Sulfate	Sulfate concentration (mM)	D30	Control	2.145833333
Sulfate	Sulfate concentration (mM)	D30	Control	NA
Sulfate	Sulfate concentration (mM)	D30	Control	1.708333333
Sulfate	Sulfate concentration (mM)	D30	Control	1.520833333
Sulfate	Sulfate concentration (mM)	D30	Control	1.604166667
Sulfate	Sulfate concentration (mM)	D30	Treat	23.61458333
Sulfate	Sulfate concentration (mM)	D30	Treat	34.38541667
Sulfate	Sulfate concentration (mM)	D30	Treat	36.20833333
Sulfate	Sulfate concentration (mM)	D30	Treat	34
Sulfate	Sulfate concentration (mM)	D30	Treat	31.36458333
Sulfate	Sulfate concentration (mM)	D30	Treat	28.05208333
Sulfite	Sulfite concentration (mM)	D00	Control	1.984375
Sulfite	Sulfite concentration (mM)	D00	Control	1.515625
Sulfite	Sulfite concentration (mM)	D00	Control	1.875
Sulfite	Sulfite concentration (mM)	D00	Control	2.0625
Sulfite	Sulfite concentration (mM)	D00	Control	1.671875
