VFAs	VFAsLong	TimeGroup	GP	values
Acetate	Acetate concentation (μM)	D00	Control	574.6667
Acetate	Acetate concentation (μM)	D00	Control	737.1667
Acetate	Acetate concentation (μM)	D00	Control	358
Acetate	Acetate concentation (μM)	D00	Control	394.1667
Acetate	Acetate concentation (μM)	D00	Treat	574.6667
Acetate	Acetate concentation (μM)	D00	Treat	737.1667
Acetate	Acetate concentation (μM)	D00	Treat	358
Acetate	Acetate concentation (μM)	D00	Treat	394.1667
Acetate	Acetate concentation (μM)	D05	Control	589.8333
Acetate	Acetate concentation (μM)	D05	Control	575.3333
Acetate	Acetate concentation (μM)	D05	Control	342.5
Acetate	Acetate concentation (μM)	D05	Control	677
Acetate	Acetate concentation (μM)	D05	Treat	1159.154
Acetate	Acetate concentation (μM)	D05	Treat	920.1718
Acetate	Acetate concentation (μM)	D05	Treat	890.7879
Acetate	Acetate concentation (μM)	D05	Treat	774.551
Acetate	Acetate concentation (μM)	D12	Control	91.16667
Acetate	Acetate concentation (μM)	D12	Control	119.6667
Acetate	Acetate concentation (μM)	D12	Control	125
Acetate	Acetate concentation (μM)	D12	Control	80.66667
Acetate	Acetate concentation (μM)	D12	Treat	611.5165
Acetate	Acetate concentation (μM)	D12	Treat	600.8879
Acetate	Acetate concentation (μM)	D12	Treat	796.1522
Acetate	Acetate concentation (μM)	D12	Treat	412.8366
Acetate	Acetate concentation (μM)	D21	Control	135.5
Acetate	Acetate concentation (μM)	D21	Control	147.3333
Acetate	Acetate concentation (μM)	D21	Control	103.1667
Acetate	Acetate concentation (μM)	D21	Control	123.3333
Acetate	Acetate concentation (μM)	D21	Treat	734.3703
Acetate	Acetate concentation (μM)	D21	Treat	607.4971
Acetate	Acetate concentation (μM)	D21	Treat	495.0444
Acetate	Acetate concentation (μM)	D21	Treat	601.4282
Acetate	Acetate concentation (μM)	D30	Control	94.5
Acetate	Acetate concentation (μM)	D30	Control	43.83333
Acetate	Acetate concentation (μM)	D30	Control	27.33333
Acetate	Acetate concentation (μM)	D30	Control	131.5
Acetate	Acetate concentation (μM)	D30	Treat	667.0015
Acetate	Acetate concentation (μM)	D30	Treat	499.2645
Acetate	Acetate concentation (μM)	D30	Treat	517.6627
Acetate	Acetate concentation (μM)	D30	Treat	1165.039
Propionate	Propionate concentation (μM)	D00	Control	23.51351
Propionate	Propionate concentation (μM)	D00	Control	31.89189
Propionate	Propionate concentation (μM)	D00	Control	10.67568
Propionate	Propionate concentation (μM)	D00	Control	16.89189
