Measure	Value	SampleID	Group
Observed	1385	T00C01	T00C
Observed	1458	T00C02	T00C
Observed	1341	T00C03	T00C
Observed	1293	T00C04	T00C
Observed	1530	T00C05	T00C
Observed	1231	T00C06	T00C
Observed	1514	T00C07	T00C
Observed	1358	T00C08	T00C
Observed	1319	T00C09	T00C
Observed	1511	T00C10	T00C
Observed	1503	T00C11	T00C
Observed	1599	T00C12	T00C
Observed	788	T00C13	T00C
Observed	1406	T00C14	T00C
Observed	1706	T00C15	T00C
Observed	1551	T00C16	T00C
Observed	911	T00C17	T00C
Observed	1526	T00C18	T00C
Observed	1781	T00C19	T00C
Observed	1596	T00C20	T00C
Observed	585	T05C01	T05C
Observed	687	T05C02	T05C
Observed	823	T05C03	T05C
Observed	404	T05C04	T05C
Observed	849	T05C05	T05C
Observed	680	T05C06	T05C
Observed	878	T05C07	T05C
Observed	618	T05C08	T05C
Observed	929	T05C09	T05C
Observed	989	T05C10	T05C
Observed	740	T05C11	T05C
Observed	853	T05C12	T05C
Observed	778	T05C13	T05C
Observed	830	T05C14	T05C
Observed	726	T05C15	T05C
Observed	695	T05C16	T05C
Observed	761	T05C17	T05C
Observed	541	T05C18	T05C
Observed	797	T05C19	T05C
Observed	540	T05C20	T05C
Observed	843	T05M01	T05M
Observed	782	T05M02	T05M
Observed	727	T05M03	T05M
Observed	857	T05M04	T05M
Observed	808	T05M05	T05M
Observed	969	T05M06	T05M
Observed	605	T05M07	T05M
Observed	803	T05M08	T05M
Observed	899	T05M09	T05M
Observed	871	T05M10	T05M
Observed	755	T05M11	T05M
Observed	942	T05M12	T05M
Observed	720	T05M13	T05M
Observed	480	T05M14	T05M
Observed	514	T05M15	T05M
Observed	844	T05M16	T05M
Observed	817	T05M17	T05M
Observed	694	T05M18	T05M
Observed	634	T05M19	T05M
Observed	755	T05M20	T05M
Observed	614	T12C01	T12C
Observed	512	T12C02	T12C
Observed	980	T12C03	T12C
Observed	985	T12C04	T12C
Observed	1097	T12C05	T12C
Observed	1031	T12C06	T12C
Observed	1055	T12C07	T12C
Observed	1086	T12C08	T12C
Observed	855	T12C09	T12C
Observed	689	T12C10	T12C
Observed	983	T12C11	T12C
Observed	1017	T12C12	T12C
Observed	874	T12C13	T12C
Observed	976	T12C14	T12C
Observed	941	T12C15	T12C
Observed	980	T12C16	T12C
Observed	614	T12C17	T12C
Observed	1041	T12C18	T12C
Observed	938	T12C19	T12C
Observed	593	T12C20	T12C
Observed	966	T12M01	T12M
Observed	970	T12M02	T12M
Observed	875	T12M03	T12M
Observed	341	T12M04	T12M
Observed	894	T12M05	T12M
Observed	845	T12M06	T12M
Observed	725	T12M07	T12M
Observed	705	T12M08	T12M
Observed	795	T12M09	T12M
Observed	874	T12M10	T12M
Observed	733	T12M11	T12M
Observed	802	T12M12	T12M
Observed	859	T12M13	T12M
Observed	842	T12M14	T12M
Observed	928	T12M15	T12M
Observed	845	T12M16	T12M
Observed	927	T12M17	T12M
Observed	832	T12M18	T12M
Observed	1045	T12M19	T12M
Observed	991	T12M20	T12M
Observed	921	T21C01	T21C
Observed	955	T21C02	T21C
Observed	752	T21C03	T21C
Observed	849	T21C04	T21C
Observed	932	T21C05	T21C
Observed	759	T21C06	T21C
Observed	871	T21C07	T21C
Observed	925	T21C08	T21C
Observed	938	T21C09	T21C
Observed	930	T21C10	T21C
Observed	807	T21C11	T21C
Observed	906	T21C12	T21C
Observed	581	T21C13	T21C
Observed	991	T21C14	T21C
Observed	796	T21C15	T21C
Observed	599	T21C16	T21C
Observed	681	T21C17	T21C
Observed	476	T21C18	T21C
Observed	527	T21C19	T21C
Observed	487	T21C20	T21C
Observed	1005	T21M01	T21M
Observed	692	T21M02	T21M
Observed	870	T21M03	T21M
Observed	500	T21M04	T21M
Observed	996	T21M05	T21M
Observed	675	T21M06	T21M
Observed	1013	T21M07	T21M
Observed	1105	T21M08	T21M
Observed	995	T21M09	T21M
Observed	1201	T21M10	T21M
Observed	1240	T21M11	T21M
Observed	938	T21M12	T21M
Observed	942	T21M13	T21M
Observed	1043	T21M14	T21M
Observed	1233	T21M15	T21M
Observed	1008	T21M16	T21M
Observed	950	T21M17	T21M
Observed	1045	T21M18	T21M
Observed	990	T21M19	T21M
Observed	1010	T21M20	T21M
Observed	961	T30C01	T30C
Observed	793	T30C02	T30C
Observed	761	T30C03	T30C
Observed	961	T30C04	T30C
Observed	680	T30C05	T30C
Observed	698	T30C06	T30C
Observed	951	T30C07	T30C
Observed	972	T30C08	T30C
Observed	668	T30C09	T30C
Observed	743	T30C10	T30C
Observed	862	T30C11	T30C
Observed	868	T30C12	T30C
Observed	732	T30C13	T30C
Observed	827	T30C14	T30C
Observed	725	T30C15	T30C
Observed	733	T30C16	T30C
Observed	960	T30C17	T30C
Observed	729	T30C18	T30C
Observed	1024	T30C19	T30C
Observed	930	T30C20	T30C
Observed	622	T30M01	T30M
Observed	940	T30M02	T30M
Observed	1062	T30M03	T30M
Observed	637	T30M04	T30M
Observed	847	T30M05	T30M
Observed	980	T30M06	T30M
Observed	880	T30M07	T30M
Observed	796	T30M08	T30M
Observed	948	T30M09	T30M
Observed	883	T30M10	T30M
Observed	1068	T30M11	T30M
Observed	768	T30M12	T30M
Observed	812	T30M13	T30M
Observed	814	T30M14	T30M
Observed	846	T30M15	T30M
Observed	961	T30M16	T30M
Observed	889	T30M17	T30M
Observed	748	T30M18	T30M
Observed	1079	T30M19	T30M
Observed	947	T30M20	T30M
Chao1	1946.022	T00C01	T00C
Chao1	2206.696	T00C02	T00C
Chao1	1860.105	T00C03	T00C
Chao1	1907.476	T00C04	T00C
Chao1	2125.92	T00C05	T00C
Chao1	1801.379	T00C06	T00C
Chao1	2136.556	T00C07	T00C
Chao1	1769.318	T00C08	T00C
Chao1	1891.25	T00C09	T00C
Chao1	2080.717	T00C10	T00C
Chao1	2126.575	T00C11	T00C
Chao1	2255.454	T00C12	T00C
Chao1	1298.667	T00C13	T00C
Chao1	2003.861	T00C14	T00C
Chao1	2207.329	T00C15	T00C
Chao1	2132.496	T00C16	T00C
Chao1	1501.759	T00C17	T00C
Chao1	2009.397	T00C18	T00C
Chao1	2242.667	T00C19	T00C
Chao1	2089.125	T00C20	T00C
Chao1	951.414	T05C01	T05C
Chao1	950.319	T05C02	T05C
Chao1	1155.163	T05C03	T05C
Chao1	800.638	T05C04	T05C
Chao1	1200.212	T05C05	T05C
Chao1	1002.852	T05C06	T05C
Chao1	1161.068	T05C07	T05C
Chao1	1066.512	T05C08	T05C
Chao1	1262.353	T05C09	T05C
Chao1	1235.905	T05C10	T05C
Chao1	1097.585	T05C11	T05C
Chao1	1200.933	T05C12	T05C
Chao1	1184.476	T05C13	T05C
Chao1	1107.981	T05C14	T05C
Chao1	1097.874	T05C15	T05C
Chao1	1052.366	T05C16	T05C
Chao1	1028.315	T05C17	T05C
Chao1	917.962	T05C18	T05C
Chao1	1187.721	T05C19	T05C
Chao1	900.012	T05C20	T05C
Chao1	1210.922	T05M01	T05M
Chao1	1147.345	T05M02	T05M
Chao1	1126.52	T05M03	T05M
Chao1	1143.141	T05M04	T05M
Chao1	1091.719	T05M05	T05M
Chao1	1347.25	T05M06	T05M
Chao1	1068.129	T05M07	T05M
Chao1	1265.786	T05M08	T05M
Chao1	1226.377	T05M09	T05M
Chao1	1171.595	T05M10	T05M
Chao1	1319.667	T05M11	T05M
Chao1	1187.944	T05M12	T05M
Chao1	1128.797	T05M13	T05M
Chao1	826.379	T05M14	T05M
Chao1	944.662	T05M15	T05M
Chao1	1405.344	T05M16	T05M
Chao1	1180.262	T05M17	T05M
Chao1	1011.256	T05M18	T05M
Chao1	977.991	T05M19	T05M
Chao1	1023.899	T05M20	T05M
Chao1	860.263	T12C01	T12C
Chao1	822.774	T12C02	T12C
Chao1	1355.377	T12C03	T12C
Chao1	1339.346	T12C04	T12C
