gpPairs	adonis.F	adonis.p	anosim.r	anosim.p	mrpp.delta	mrpp.p
T00C_vs_T05C	19.3786680418711	0.001	0.945822368421052	0.001	0.487891688346964	0.001
T00C_vs_T12C	25.6256486217619	0.001	0.9995	0.001	0.475945007558458	0.001
T00C_vs_T21C	29.7207241079283	0.001	1	0.001	0.480972503120392	0.001
T00C_vs_T30C	34.1173532497796	0.001	1	0.001	0.461725293009899	0.001
T00C_vs_T05M	13.2062957917881	0.001	0.883690789473684	0.001	0.490484019496808	0.001
T00C_vs_T12M	12.5983302206307	0.001	0.823842105263158	0.001	0.491182251950628	0.001
T00C_vs_T21M	11.6958012358171	0.001	0.787947368421053	0.001	0.490439866038668	0.001
T00C_vs_T30M	14.0731038163275	0.001	0.932578947368421	0.001	0.49008591111248	0.001
T05C_vs_T05M	11.9919959134891	0.001	0.881342105263158	0.001	0.500274997194402	0.001
T12C_vs_T12M	20.2694110836592	0.001	0.921815789473684	0.001	0.489026548859716	0.001
T21C_vs_T21M	23.9272163885526	0.001	0.997157894736842	0.001	0.49331165850969	0.001
T30C_vs_T30M	26.9524006380815	0.001	1	0.001	0.473710493473009	0.001
