Modu1	Modu2	Both	M1nodes	M2nodes	Pvalues	DF1vsDF2
M4	M4	4	68	59	0.999533453208539	D00C_D05C
M4	M2	9	68	61	0.913870048606166	D00C_D05C
M4	M1	1	68	42	0.999962010679669	D00C_D05C
M4	M3	3	68	13	0.507233825694307	D00C_D05C
M2	M4	1	60	59	0.999997328448114	D00C_D05C
M2	M2	24	60	61	6.85266762223557e-06	D00C_D05C
M2	M1	0	60	42	1	D00C_D05C
M2	M3	2	60	13	0.707227812245367	D00C_D05C
M3	M4	14	26	59	1.11122534535292e-05	D00C_D05C
M3	M2	1	26	61	0.995562340280991	D00C_D05C
M3	M1	0	26	42	1	D00C_D05C
M3	M3	0	26	13	1	D00C_D05C
M1	M4	5	73	59	0.999120891573519	D00C_D05C
M1	M2	14	73	61	0.452669112834962	D00C_D05C
M1	M1	1	73	42	0.999983856214687	D00C_D05C
M1	M3	3	73	13	0.561340600498314	D00C_D05C
M7	M4	0	8	59	1	D00C_D05C
M7	M2	1	8	61	0.80133355435669	D00C_D05C
M7	M1	0	8	42	1	D00C_D05C
M7	M3	0	8	13	1	D00C_D05C
M5	M4	1	5	59	0.620412224138515	D00C_D05C
M5	M2	1	5	61	0.633967874134867	D00C_D05C
M5	M1	0	5	42	1	D00C_D05C
M5	M3	0	5	13	1	D00C_D05C
M6	M4	0	7	59	1	D00C_D05C
M6	M2	0	7	61	1	D00C_D05C
M6	M1	0	7	42	1	D00C_D05C
M6	M3	0	7	13	1	D00C_D05C
M4	M5	0	68	8	1	D00C_D05M
M4	M3	1	68	15	0.988315666557182	D00C_D05M
M4	M1	9	68	38	0.64885704650814	D00C_D05M
M4	M2	8	68	41	0.860149604919629	D00C_D05M
M4	M4	7	68	14	0.0342953778884869	D00C_D05M
M4	M7	0	68	6	1	D00C_D05M
M2	M5	0	60	8	1	D00C_D05M
M2	M3	8	60	15	0.00637697348312119	D00C_D05M
M2	M1	11	60	38	0.184194359346958	D00C_D05M
M2	M2	11	60	41	0.270347149337898	D00C_D05M
M2	M4	7	60	14	0.0170826576916658	D00C_D05M
M2	M7	0	60	6	1	D00C_D05M
M3	M5	6	26	8	1.06031371241372e-05	D00C_D05M
M3	M3	0	26	15	1	D00C_D05M
M3	M1	0	26	38	1	D00C_D05M
M3	M2	2	26	41	0.929717608156819	D00C_D05M
M3	M4	0	26	14	1	D00C_D05M
M3	M7	3	26	6	0.0128544997972852	D00C_D05M
M1	M5	0	73	8	1	D00C_D05M
M1	M3	1	73	15	0.992055871747614	D00C_D05M
M1	M1	14	73	38	0.0983318087212834	D00C_D05M
M1	M2	4	73	41	0.99909883916721	D00C_D05M
M1	M4	0	73	14	1	D00C_D05M
M1	M7	0	73	6	1	D00C_D05M
M7	M5	0	8	8	1	D00C_D05M
M7	M3	2	8	15	0.0656368800271076	D00C_D05M
M7	M1	0	8	38	1	D00C_D05M
M7	M2	1	8	41	0.734388317408949	D00C_D05M
M7	M4	0	8	14	1	D00C_D05M
M7	M7	0	8	6	1	D00C_D05M
M5	M5	0	5	8	1	D00C_D05M
M5	M3	0	5	15	1	D00C_D05M
M5	M1	1	5	38	0.531606838118637	D00C_D05M
M5	M2	0	5	41	1	D00C_D05M
M5	M4	0	5	14	1	D00C_D05M
M5	M7	0	5	6	1	D00C_D05M
M6	M5	0	7	8	1	D00C_D05M
M6	M3	0	7	15	1	D00C_D05M
M6	M1	1	7	38	0.655659601698773	D00C_D05M
M6	M2	0	7	41	1	D00C_D05M
M6	M4	0	7	14	1	D00C_D05M
M6	M7	0	7	6	1	D00C_D05M
M4	M2	15	68	109	0.799037838595649	D00C_D12C
M4	M3	0	68	82	1	D00C_D12C
M4	M1	9	68	83	0.945241106334618	D00C_D12C
M4	M7	0	68	6	1	D00C_D12C
M4	M4	1	68	6	0.647294631554897	D00C_D12C
M4	M5	0	68	9	1	D00C_D12C
M4	M6	1	68	6	0.647294631554897	D00C_D12C
M2	M2	28	60	109	9.30568629129337e-05	D00C_D12C
M2	M3	0	60	82	1	D00C_D12C
M2	M1	11	60	83	0.643381535912141	D00C_D12C
M2	M7	0	60	6	1	D00C_D12C
M2	M4	1	60	6	0.597355046195197	D00C_D12C
M2	M5	0	60	9	1	D00C_D12C
M2	M6	2	60	6	0.199134762212424	D00C_D12C
M3	M2	1	26	109	0.999626359615237	D00C_D12C
M3	M3	5	26	82	0.577336606935206	D00C_D12C
M3	M1	2	26	83	0.976163211494416	D00C_D12C
M3	M7	0	26	6	1	D00C_D12C
M3	M4	0	26	6	1	D00C_D12C
M3	M5	0	26	9	1	D00C_D12C
M3	M6	0	26	6	1	D00C_D12C
M1	M2	24	73	109	0.0740352558205597	D00C_D12C
M1	M3	2	73	82	0.999999185706813	D00C_D12C
M1	M1	7	73	83	0.995863737605881	D00C_D12C
M1	M7	0	73	6	1	D00C_D12C
M1	M4	0	73	6	1	D00C_D12C
M1	M5	1	73	9	0.816620587300949	D00C_D12C
M1	M6	1	73	6	0.675800174751904	D00C_D12C
M7	M2	2	8	109	0.64524662318196	D00C_D12C
M7	M3	1	8	82	0.819619123435901	D00C_D12C
M7	M1	1	8	83	0.823777760359569	D00C_D12C
M7	M7	0	8	6	1	D00C_D12C
M7	M4	0	8	6	1	D00C_D12C
M7	M5	0	8	9	1	D00C_D12C
M7	M6	0	8	6	1	D00C_D12C
M5	M2	1	5	109	0.770920270921934	D00C_D12C
M5	M3	0	5	82	1	D00C_D12C
M5	M1	1	5	83	0.660651137977378	D00C_D12C
M5	M7	0	5	6	1	D00C_D12C
M5	M4	0	5	6	1	D00C_D12C
M5	M5	0	5	9	1	D00C_D12C
M5	M6	0	5	6	1	D00C_D12C
M6	M2	1	7	109	0.873665886061424	D00C_D12C
M6	M3	0	7	82	1	D00C_D12C
M6	M1	1	7	83	0.780631902276513	D00C_D12C
M6	M7	0	7	6	1	D00C_D12C
M6	M4	0	7	6	1	D00C_D12C
M6	M5	0	7	9	1	D00C_D12C
M6	M6	0	7	6	1	D00C_D12C
M4	M1	6	68	33	0.757625693583566	D00C_D12M
M4	M3	10	68	64	0.930802251299428	D00C_D12M
M4	M2	10	68	44	0.484041390729553	D00C_D12M
M4	M7	1	68	16	0.981410931120284	D00C_D12M
M4	M4	5	68	19	0.38884441046418	D00C_D12M
M4	M5	0	68	10	1	D00C_D12M
M4	M6	0	68	6	1	D00C_D12M
M2	M1	8	60	33	0.2729552408433	D00C_D12M
M2	M3	18	60	64	0.0312363133429607	D00C_D12M
M2	M2	13	60	44	0.0473524085842484	D00C_D12M
M2	M7	0	60	16	1	D00C_D12M
M2	M4	4	60	19	0.503021823832053	D00C_D12M
M2	M5	0	60	10	1	D00C_D12M
M2	M6	0	60	6	1	D00C_D12M
M3	M1	1	26	33	0.94995861920609	D00C_D12M
M3	M3	3	26	64	0.92909117123349	D00C_D12M
M3	M2	1	26	44	0.983010703547462	D00C_D12M
M3	M7	10	26	16	1.33777603110471e-08	D00C_D12M
M3	M4	0	26	19	1	D00C_D12M
M3	M5	0	26	10	1	D00C_D12M
M3	M6	0	26	6	1	D00C_D12M
M1	M1	8	73	33	0.508839152625235	D00C_D12M
M1	M3	10	73	64	0.964237164581201	D00C_D12M
M1	M2	11	73	44	0.438838398860248	D00C_D12M
M1	M7	0	73	16	1	D00C_D12M
M1	M4	0	73	19	1	D00C_D12M
M1	M5	0	73	10	1	D00C_D12M
M1	M6	0	73	6	1	D00C_D12M
M7	M1	0	8	33	1	D00C_D12M
M7	M3	2	8	64	0.506046052633195	D00C_D12M
M7	M2	0	8	44	1	D00C_D12M
M7	M7	0	8	16	1	D00C_D12M
M7	M4	0	8	19	1	D00C_D12M
M7	M5	0	8	10	1	D00C_D12M
M7	M6	0	8	6	1	D00C_D12M
M5	M1	0	5	33	1	D00C_D12M
M5	M3	0	5	64	1	D00C_D12M
