from	to	type
OTU4812	OTU4884	0.957603
OTU4747	OTU4767	0.9460478
OTU2340	OTU3536	0.9387576
OTU4544	OTU4812	0.9357608
OTU3294	OTU4788	0.9460548
OTU4266	OTU4812	0.9296665
OTU3282	OTU3442	0.9279105
OTU4505	OTU4788	0.9421201
OTU3992	OTU4132	0.9265422
OTU4740	OTU4796	0.9457225
OTU4796	OTU6610	0.9201927
OTU2461	OTU6846	-0.9201758
OTU4505	OTU4747	0.9191695
OTU4788	OTU6520	0.9462535
OTU4684	OTU4758	0.9153413
OTU4796	OTU6520	0.9132445
OTU6403	OTU6578	0.9103958
OTU7440	OTU8700	0.9092452
OTU5455	OTU5465	0.90787
OTU3282	OTU4747	0.913647
OTU4684	OTU4740	0.9045369
OTU4796	OTU6591	0.9040281
OTU3266	OTU7921	0.9027799
OTU2461	OTU7249	0.9002956
OTU3294	OTU4747	0.8987427
OTU3262	OTU4788	0.9253381
OTU4865	OTU7882	0.8973377
OTU4238	OTU4621	0.8957318
OTU1605	OTU2283	0.8951004
OTU4788	OTU4893	0.8933192
OTU3303	OTU4659	-0.8924688
OTU7083	OTU7644	0.8917667
OTU4788	OTU6475	0.9344261
OTU3457	OTU4238	0.8914403
OTU3259	OTU4187	0.9083652
OTU4796	OTU7882	0.8908113
OTU3806	OTU3992	0.8900457
OTU4541	OTU4659	-0.8888979
OTU4394	OTU4788	0.9167512
OTU4238	OTU4394	0.8873031
OTU4408	OTU4788	0.9098285
OTU3442	OTU4740	0.8860581
OTU3267	OTU8261	0.8860351
OTU6403	OTU7744	0.9046442
OTU4132	OTU455	0.8855528
OTU7083	OTU7527	0.8854851
OTU4394	OTU4747	0.8850264
OTU3593	OTU4191	0.8848049
OTU4796	OTU6475	0.8846778
OTU4758	OTU4788	0.8845357
OTU110	OTU8418	0.8831892
OTU4695	OTU6780	0.8824767
OTU4187	OTU4544	0.8821975
OTU4541	OTU4747	0.8811291
OTU3992	OTU5455	0.8810249
OTU3457	OTU4209	0.8785253
OTU3398	OTU6780	0.8775551
OTU4291	OTU4747	0.8771882
OTU4209	OTU7900	0.8769231
OTU2283	OTU2759	0.8764826
OTU4803	OTU8186	0.8764806
OTU4408	OTU4892	-0.8761593
OTU2869	OTU4796	0.8947802
OTU2824	OTU6784	0.8757075
OTU5151	OTU7527	0.8752855
OTU4387	OTU4793	0.8742654
