from	to	type
OTU455	OTU5455	0.9388113
OTU3992	OTU7440	0.9654439
OTU3806	OTU455	0.9563821
OTU1936	OTU4132	0.9316992
OTU442	OTU5465	0.9292877
OTU1108	OTU8583	0.9340331
OTU1999	OTU244	0.9256941
OTU5151	OTU530	0.9232885
OTU4132	OTU442	0.9181396
OTU3638	OTU8583	0.9181315
OTU5570	OTU5765	0.9082251
OTU3806	OTU3984	0.907786
OTU1704	OTU6234	-0.9074501
OTU418	OTU5997	-0.9070095
OTU5151	OTU8053	0.9065961
OTU1704	OTU2753	0.9056278
OTU110	OTU2179	0.9049108
OTU442	OTU455	0.9038832
OTU5151	OTU5334	0.9036935
OTU455	OTU7644	0.9326364
OTU3806	OTU442	0.9255517
OTU442	OTU7440	0.9354299
OTU5128	OTU5765	0.898981
OTU3992	OTU4132	0.8973299
OTU5455	OTU6403	0.892929
OTU5765	OTU8658	0.8923123
OTU107	OTU8078	-0.8922404
OTU7549	OTU7744	0.8918508
OTU2427	OTU6234	-0.8899897
OTU5783	OTU8804	0.8898577
OTU6234	OTU7087	-0.8895403
OTU2340	OTU7744	0.9354004
OTU5653	OTU8657	0.8889096
OTU4848	OTU6816	0.8852969
OTU5465	OTU7644	0.8848508
OTU1508	OTU1936	0.8846651
OTU6234	OTU7452	-0.883477
OTU8657	OTU8876	0.8829567
OTU4838	OTU5653	0.8803839
OTU442	OTU7083	0.8803219
OTU2340	OTU7549	0.8794429
OTU2274	OTU8418	0.8790733
OTU2753	OTU8649	0.8783559
OTU6234	OTU6999	-0.8783138
OTU1402	OTU3475	0.8772423
OTU1402	OTU2340	0.9061369
OTU5455	OTU7644	0.8760059
OTU5465	OTU5783	0.8747722
OTU5151	OTU7765	0.8737694
OTU2405	OTU7549	0.8722952
OTU107	OTU3764	-0.8720371
OTU1557	OTU3475	0.8708507
OTU1936	OTU3806	0.8707244
OTU5151	OTU5497	0.8696412
OTU4815	OTU5570	0.8688458
OTU2828	OTU5599	0.8685254
OTU1605	OTU7083	0.8752904
OTU2198	OTU2274	0.8658952
OTU7644	OTU7744	0.865893
OTU1936	OTU8195	0.9325329
OTU2283	OTU3992	0.8655551
OTU3992	OTU442	0.9169494
OTU2828	OTU8026	0.8631948
OTU2828	OTU4812	0.8624345
OTU6234	OTU6254	-0.8623034
OTU2536	OTU5151	0.8616512
OTU1605	OTU4387	0.8714882
OTU1402	OTU2405	0.8615478
OTU7471	OTU8195	0.86063
OTU2179	OTU2198	0.8599747
OTU5783	OTU8657	0.8586391
OTU7083	OTU8657	0.8570297
OTU1621	OTU4891	0.8567943
OTU7440	OTU8490	0.8542566
OTU1605	OTU4838	0.8604066
OTU2753	OTU8055	0.85342
OTU1704	OTU5653	0.8524303
OTU2340	OTU7644	0.8523816
OTU2537	OTU6234	-0.8517766
OTU4649	OTU7255	0.8511793
OTU2086	OTU2340	0.8509552
OTU442	OTU4838	0.8507181
OTU2405	OTU3987	0.8506999
OTU2283	OTU3987	0.8506237
OTU637	OTU8275	0.8497292
OTU2174	OTU2421	0.8497185
OTU2598	OTU5576	0.8496952
OTU1605	OTU3992	0.8493651
OTU1321	OTU8876	0.8493245
OTU7767	OTU8078	-0.8480636
OTU110	OTU8418	0.8812636
OTU2770	OTU6234	-0.8470059
OTU409	OTU7423	0.8468382
OTU6234	OTU8186	-0.8460535
OTU2086	OTU8804	0.8707721
OTU3475	OTU4803	0.84566
OTU1402	OTU2086	0.8455435
OTU2340	OTU6403	0.8448513
OTU2427	OTU5128	0.8447363
OTU5653	OTU637	0.8444758
OTU2874	OTU5039	0.8442003
OTU1108	OTU7767	0.8439315
OTU7644	OTU791	0.8432019
OTU4838	OTU5128	0.842739
OTU4387	OTU5653	0.8424093
OTU2340	OTU7907	0.8422814
OTU4461	OTU7832	-0.8422491
OTU3984	OTU442	0.842065
OTU2815	OTU3984	0.8416702
OTU2753	OTU7087	0.8815756
OTU1108	OTU1345	0.8402712
OTU118	OTU8121	-0.8401085
OTU5465	OTU7471	0.8400772
OTU5151	OTU5638	0.8397299
OTU455	OTU7471	0.8395598
OTU2211	OTU8078	-0.8394445
OTU4400	OTU7416	-0.8384002
OTU7207	OTU8288	0.8383068
OTU7616	OTU8444	0.8381338
OTU654	OTU8976	0.8370724
OTU5128	OTU7087	0.8361297
OTU3764	OTU4461	-0.8360443
OTU2086	OTU3806	0.8359755
OTU6403	OTU7527	0.8780122
OTU1225	OTU2224	0.8354635
OTU7207	OTU7699	-0.8348785
OTU1605	OTU5465	0.8345081
OTU2753	OTU3992	0.8343545
OTU2211	OTU3638	0.834263
OTU1108	OTU2211	0.8339055
OTU5863	OTU632	-0.8335423
OTU3987	OTU4883	0.8331462
OTU118	OTU8991	-0.8327538
OTU5653	OTU7440	0.8325935
OTU1385	OTU8732	-0.832396
OTU8195	OTU994	0.8322359
OTU2686	OTU3764	-0.8321705
OTU7471	OTU8657	0.8321385
OTU5727	OTU8078	-0.8320804
OTU5783	OTU7424	0.8317986
OTU1388	OTU3583	-0.8316487
OTU695	OTU8777	0.8316372
OTU6042	OTU8583	0.8313237
OTU4461	OTU4539	-0.8311948
OTU3593	OTU8186	0.8311855
OTU1605	OTU3987	0.8308438
OTU3987	OTU6816	0.830831
OTU5151	OTU5783	0.8308232
OTU4132	OTU4387	0.83057
OTU6442	OTU8649	0.8304613
OTU4838	OTU7449	0.8304564
OTU3992	OTU5472	0.8300537
OTU7440	OTU8195	0.829669
OTU7440	OTU7527	0.8294355
OTU3475	OTU7907	0.8292555
OTU2427	OTU5653	0.8292023
OTU3764	OTU7393	-0.8284148
OTU1898	OTU6847	0.828366
OTU2405	OTU3536	0.8281144
OTU1936	OTU3983	0.827915
OTU242	OTU6234	-0.8278244
OTU3573	OTU4274	-0.8278128
OTU7549	OTU7997	0.8277847
OTU2537	OTU3593	0.8277572
OTU7416	OTU9039	-0.8276726
OTU4838	OTU8657	0.8933878
OTU2753	OTU6999	0.8268845
OTU6578	OTU8711	0.8267319
OTU5565	OTU8078	-0.8265379
OTU1425	OTU8695	0.8263496
OTU6234	OTU8649	-0.8260542
OTU107	OTU5938	0.8257403
OTU4838	OTU8195	0.8256144
OTU6403	OTU8235	0.8252845
OTU7440	OTU8876	0.8251583
