"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78","bin79","bin80","bin81","bin82","bin83","bin84","bin85","bin86","bin87","bin88","bin89","bin90","bin91","bin92","bin93","bin94","bin95","bin96","bin97","bin98","bin99","bin100","bin101","bin102","bin103","bin104","bin105","bin106","bin107","bin108","bin109","bin110","bin111","bin112","bin113","bin114","bin115","bin116","bin117","bin118","bin119","bin120","bin121","bin122","bin123","bin124","bin125","bin126","bin127","bin128","bin129","bin130","bin131","bin132","bin133","bin134"
"CbMPDiCbraya","Group","T00C","HeS",2.51852570700919e-06,0,0,0,0,0,3.60940540970725e-05,0.000160450209181993,0,0,0,2.98778059239522e-06,0,5.56024171159619e-05,3.24096593353579e-06,6.00953554120655e-06,0,0,0,0,0,5.48179865941879e-05,0.00103150661205601,0,0,0.000162607778716064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5865368047503e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03289184754991e-05,0,1.62119752759199e-06,0,5.04227335739134e-05,0,0,0,0,0,0,4.36250940628147e-05,0,1.56342164446809e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100326849740042,0,4.38104533021709e-06,0,0,0,0,4.70712392972619e-06,0,0,0,0,0,0,0,3.60130178713265e-06,0,0,3.50570700530938e-06,4.98699397397563e-06,0,4.59241078604213e-06,9.32112563181858e-06,0,0,0,0,0,0,0,0,0
"CbMPDiCbraya","Group","T00C","HoS",1.88465420606324e-05,0,0.0155035968385656,0.000582108917035275,0.000101123784239649,4.85142887721778e-05,0,0,0,0.0143871522542957,0.000179003827516148,1.34323815806509e-05,2.58932885081126e-05,1.88672968842933e-05,3.72240305890263e-06,3.75283462224081e-06,0.000354634158509585,0.000132754855189248,2.11438294483045e-06,0,0.00252036779172545,0,0,0.000971012798105507,0.000659694321388616,0,0.000235255968625803,0.000600700642405677,0.0123816985236821,0,0.0470269291613933,4.84394936186739e-06,4.27319101964099e-06,0,0,0,0,2.21756339178674e-05,0.00411848386533616,0.00475893174330893,0,3.17934476322466e-06,0.00185114576087164,0,0.00515073162307979,0.000246623784120837,0.00099833681521464,0,0.005069619941387,0.28590364986774,0,0.0016757997603986,0,4.22296566999428e-06,0,0.000176126871234589,0.0400102908864523,0.000554476713505951,0.000125750158738675,1.11623718942605e-06,0,0.00138993415987706,0,0,5.53189215392936e-06,0,0.00185504902372716,0,1.49232509177655e-05,0.00102727754924667,3.72428382022137e-07,1.48835544926755e-06,0,2.58439704890522e-05,1.47002019020289e-05,1.3196570444216e-05,0.00137275059003856,0,0.00262435725641237,0,0,0,1.22321942750153e-05,0,0,0,6.0273473722752e-06,4.19902160405077e-05,0,0.00286553506648381,0,1.36608896418814e-06,3.99040114458711e-06,0,6.48525636562621e-06,1.08741926752762e-05,6.99248315486682e-06,0.00164808901362335,0,0,0,0,0,0,0.000191616145502136,4.38557431182496e-05,0.00104599654064223,0.0105095043768978,0,0,4.55339628126548e-05,4.11049704039033e-05,8.2836765579577e-05,0,2.88298826041446e-05,0,1.01905831777818e-05,0,0.000710355026458618,0.00142861999479666,3.75058887053383e-06,1.8901797746583e-05,0,2.00975801178446e-05,1.27305810012271e-05,0,0.00355419626527056,5.27704058623766e-05,0,7.64959905861587e-05,0,0.00121593637625741,0.000474595609513546,0.000210224454921068
"CbMPDiCbraya","Group","T00C","DL",0.000341855036351862,0.000470118095206775,3.62070690012569e-05,0.00100519026003564,0.000902994281258658,0.000493969969414349,0.00102207447115867,0,0.00141728743899679,0,0.00358989267955439,0.000435600367376654,0.000671927405920322,0,0.000316402026775331,0.000159352088137119,8.7673300245998e-06,0.00206762522785706,0.000560140945137339,0.000432122660053593,5.05858436083239e-05,0.00177244059983103,0.000847617621709064,0.000830106206895373,0.000250240303284233,0.00171347273589363,4.39380595977737e-06,0.000259848746610038,0.00560263636157969,0.05084753172586,0.00652478946218614,3.31268636952522e-05,0,0.00643809431942738,0.0013313426501006,1.34753415240326e-05,0.000834528160469502,0.00137487630446028,0.000251036352426242,0,0.053384520362065,0.000722509379339462,0.000225402847990426,0.00105111053424518,0.0122252752450951,0.00145864891724279,0.000589381949023136,0.00221799461752173,0.000725941203346358,0.114934854554513,0.00517064772702292,0.00247326428579788,0.000523760581687518,0.000795853278178245,0.00696483005615371,0.00417065569362729,0,0.000916317448516328,0.00330497889823141,0.000559548774429958,0.00845991923288876,0.00110419005686887,0.0281555713911036,0.000672411688401441,0.000544336965921199,0.00291975675579289,4.81547094101743e-05,0.000359393008883182,0.000904147824410067,0.00133268222742792,0.000354881733493441,0.00054811958207973,0.000928602357455954,0.000652892822003609,0.00255926861786915,0.0026099883950081,0.00252454870370769,0.00128616047563015,0.000143897932364966,0.00102051699041868,0.00263809412926171,0.000655647189259211,0.00142886978578796,0.00505523651993512,0.00180220743238445,1.02443775536268e-05,0,6.74279598079618e-06,0.000146579169712408,0,0.00064117979970964,5.22338077414421e-05,1.06100982488942e-05,0.00371737878402861,0,7.58390398781809e-05,0,1.29848019616059e-05,0.00218167635375288,0.000470858508858912,0.0518139352752617,0.034194779279472,0.000757464777687508,0.000821426612769406,0,2.9266218220252e-05,0.000119398306287212,0.00247567025464081,0.00550597841166884,0.000686026103847063,0.0005790753088271,2.08893024590613e-05,0.000792668361207276,0.000436151651930868,0.000718493459223982,0.000680907605700992,0.00188692592600226,0.000770917006404108,0.00115158657532929,0.000381377095826753,0.000776860960476766,0.000942304724711878,0.000919721387298415,0.000472818747068156,0.00126730884375585,0.000888913822166682,7.26833455365107e-05,0.000663205867829879,0.000137833386435835,0.00145987174458446,0.00455983141408288,0.00124998432377459,0.0012016604113574,0.00152047538393331
"CbMPDiCbraya","Group","T00C","HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CbMPDiCbraya","Group","T00C","DR",9.97538884164962e-07,1.48607325878526e-06,0,0,0,0,0,0.000227217123752802,0,0,2.44111898194399e-05,0,0.000314070470612334,0.000157198410148956,0,0,0.0010267184752498,0,0,0.00302234446939079,0.000130633512248797,0,5.21414748788524e-06,0,7.21895596816637e-06,0,0.00025192374677835,3.6040281783196e-05,0,0,0,0.000309273191414885,4.84124094377192e-05,0.000391298193927018,0.000234907651301953,0.000201317159059357,0.000209712211049651,0,0,0,0.000371295958139726,2.1134371679279e-06,6.67287657717638e-06,3.98467487815898e-06,0.000133741888953074,1.01942257930781e-05,0,8.71717418778764e-06,0,0,0.000239492095756061,0.000110482275590906,1.23126325147074e-07,5.24030937417354e-06,2.00926112802771e-05,0,0,0,9.53341738192743e-06,1.86911279972454e-06,0,0,0,0.000567353063262566,1.60974099374335e-06,1.01984597543547e-05,0,0,0,0,0,1.51582184463772e-06,0,3.84412953665196e-06,3.93706344924509e-06,0,0,0,1.59957831424722e-06,0,0,0,0,6.52186514720186e-06,0.000695148054833996,0.000327044187594125,9.10770281834025e-05,1.77514967095e-05,0.0017380434553377,0,0.000496808501982882,0.000465665775863471,0.000216886047196324,0.00241467154898607,4.59584523631824e-05,0.000579746819781025,0.000216400345182798,0,0,5.51497521871269e-06,0,4.66293425477387e-05,0,2.34100373375899e-05,1.32726961151852e-05,0.000526344514992536,0,0,5.04434924543696e-06,1.57465153101443e-05,0,0.000468863642461398,0,8.64047417725617e-07,1.36074418447058e-06,1.36163870958841e-06,0,0,0,0,0,0,0,0,0,8.30112397207211e-06,0,1.23851947411208e-06,0.000228248993553431,0,1.66866040937057e-05,1.35353844648602e-06,2.09951807030163e-06,0
"CbMPDiCbraya","Group","T05C","HeS",0,0,4.18335941892191e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190340048132533,4.09749020022484e-06,1.98891181662233e-06,0,0,0,0,0,0,0,0,0,0,0,0.0033329118591283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24383369445972e-06,0,0,0,0,0,0,0,0,0,0,3.34645304725651e-06,0,0,0,2.73404461477758e-06,8.79475786232691e-06,3.11361155547069e-05,0,0,5.19973417695983e-06,0,1.67632529182291e-05,3.50262457364737e-05,2.02228968160282e-05,0,0,0,0,0,0.000451586516166152,0,0,0,0,0,0,0,0,0,4.97311003148276e-06,0,0,0,0,7.90794685000021e-05,0,0,0,0,0,0,0,0,0,2.98520086670332e-06,5.69992959975498e-06,0,4.96031532715629e-07,1.14077980449878e-05,0,0,0,0,0,1.20457544773224e-05,0,1.177584937423e-05,0,0,0,0,1.12792697048842e-06,9.10531880736933e-05,0,0,0
"CbMPDiCbraya","Group","T05C","HoS",2.97625041907892e-06,1.16623117344034e-05,0.00365670719809225,1.07921773307908e-05,1.23159905029066e-06,7.44509338586108e-06,2.46806282840654e-06,0,1.1149430326417e-05,0.00296381352828319,0,5.6944319030492e-06,0,3.34882731484779e-06,2.47974342491955e-06,1.90761844605089e-05,0.000410875814556297,0.000120663206848253,7.41054360853892e-07,0.0888544805413797,4.28873832463638e-05,4.55998206222525e-06,0,8.55693964901738e-05,0.00011832311077325,1.10950249508435e-06,0.00975597435225954,0.00083293700697292,0.00299334046239284,0,0.00784916439099449,7.42500411894431e-07,0,0,0,0,0,2.96460147822359e-06,0.0007672572317022,0.0011841337490332,0.0335511644520356,2.33345272543214e-05,1.06056332024645e-05,3.47149155443027e-06,0.000229393425473973,7.34759850806105e-05,4.47253136091043e-06,0,0.000951059873763924,0.107022687911351,0.000283974449273085,0.00211715972408671,1.48046501242172e-06,7.41989101121695e-07,0,3.16599172273967e-05,0.0109983003380208,8.04262660099898e-05,1.95838556538441e-05,1.1536464605024e-05,0,0.000305461775835059,0,0.000544165753022771,1.03909986635355e-05,0,0.000385260704597223,1.04100571339508e-05,7.19303977027136e-06,0.000331083972339667,4.59606313904422e-06,1.48741754538735e-06,1.48588472111332e-06,5.23622871847042e-06,3.85476096590735e-06,5.14666308739646e-05,0.000102410108875116,1.9908430197522e-06,0.00044394555675649,1.0532263961165e-05,0,1.72797925311061e-06,2.72597269077738e-06,0,0.00290085970464925,0,5.57326193561173e-06,0.00401841068769539,0.00388884955396508,0,6.15395757667007e-07,0.0294660280016328,0.00474544399350104,0.00856532874502752,0,0.0377476301225221,0.00137206223206809,0.000249944414652011,0,2.72618735816681e-06,0,0,1.60881650833747e-06,9.91706806387781e-07,0.0346570079250547,9.55111754927429e-06,8.17728201902885e-06,0.00256272180034052,6.15194294535175e-07,9.91102033372914e-07,1.482591542921e-06,7.14579986752724e-06,6.08635910037498e-05,9.87893424349995e-07,0,1.60796576264899e-06,1.35306012999218e-06,0,7.26574145281608e-05,0.000148790729464523,1.49050154182043e-06,1.11426235413895e-06,2.97224299410745e-06,1.67520416512236e-05,1.24383369445972e-06,3.23807075038134e-05,0.000334806268346342,2.70540870507012e-05,3.32333839686298e-05,3.27536365825789e-05,0,3.93142876907515e-05,3.77062726289935e-05,1.7493577269457e-05
"CbMPDiCbraya","Group","T05C","DL",9.42341026215458e-06,2.51168259465957e-05,0.000238697806110317,7.68434348860867e-05,0.000126421671791,3.31438659528718e-05,4.20161793041736e-05,0.0399139894278814,0.000220561922800067,7.98191098666422e-05,0.00019579768053594,3.93483604097838e-05,0.000150550872534523,0.000123889444279596,9.2990378434483e-06,3.27020305037295e-05,0.000222099095938875,0.000304500683774416,7.77179302831361e-05,0,0.000469722484302345,0.000373875242002827,8.31797103117584e-05,6.2377158783313e-05,0.000110922984819558,0.000440820457785816,0.0980766414933038,0.00166524999666976,0.00153150948789165,0.00920015280045181,0.0022461856167883,0.000223304700203627,0.0172312979833213,0.00269977076253632,0.0124535010711977,0.0816510658805225,0.000165852747723396,0.000199292257924796,0.000177218422308184,0,0.156233098568771,0.000179413830348316,0.000934932780536919,0.000214031482438307,0.00101971792913247,0.000223062456421537,0.000174895180053129,0.000552767324364726,0.000351749473965006,0,0.0050155814897805,0.00016745829322688,6.01991721892252e-05,9.84913416275031e-05,0.000871261235838559,0.000146701712861463,0,8.27062248100285e-05,0.000216699072696695,8.59451066774229e-05,0.000731650687697562,5.18453085374582e-05,0.00511728441178685,0.000358669767790859,0.000112471572772817,0.000307100702110233,9.99674564889701e-05,2.44137717639935e-05,0.000220470025314806,0.000315127117123434,3.31512613787916e-05,6.31773423705088e-05,0.000163078654293369,0.000136713353423748,0.000174024660933165,0.000379896454956668,0.000473475128232753,0.000172499970572007,9.29187638709129e-05,0.000186682486445644,0.000331500083524908,0.000136576657465171,0.000315454308105633,0.000718388470983241,0.0171698045552558,0.000347322772962211,0,0.000157800255963443,0.041074872038373,0.00514859001130284,0.000244000259532418,0,0.000706372958393158,0.010304027354618,0.0138179237703107,0.00227247172408715,0.000955999035550345,0.000104153219991838,0.000496024920250801,6.91149673111566e-05,0.00340161282543971,0.00334005312480188,0.000242259720580253,2.89112711437743e-05,0,9.84889784530475e-07,0.000468993094568384,0.000301361271188277,0.000272874090166487,6.8538857334503e-05,0.000102273625513482,0.000543947487693981,0.000122255397174675,8.76775533848026e-05,0.000260631674347596,0.0001385856343815,0.00037769929777136,0.00019980270056982,0.000194795439173081,8.83258112522326e-05,4.62735008489902e-05,3.77987031468549e-05,0.00015248291950619,1.84890726239318e-05,0.000262393047808008,6.91234697343334e-05,2.22606779596426e-05,4.07956298649345e-06,0.000187890149736944,8.98573093654186e-05,0.000688725779459912,0.000235790675741521,0.000204060624572448,0.000163344308225995
"CbMPDiCbraya","Group","T05C","HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CbMPDiCbraya","Group","T05C","DR",1.73752880939138e-06,5.5884406283543e-06,0,0.000140939740635326,3.97593372878013e-05,4.22680865450279e-06,2.38499473638239e-05,0,6.76296695921422e-05,9.22659487858635e-06,0.00072012651473147,2.11268704040418e-06,0.000183878744699432,0.000412288648082077,0,0,0.000650554083337916,5.32893131168526e-05,4.09622942459564e-06,0,0.000823788990680075,3.66062761729165e-05,0.000127225524508009,4.82774276082684e-05,6.81154173858103e-06,1.31403529751186e-05,0,3.94557226716261e-06,0.000157250110957027,0.00330954050473544,0.000613444913917899,7.54400308736198e-05,0,0.000397989519217013,0,0,0,6.18198286030847e-07,1.55483347471296e-05,0,0.00079786316628989,1.24014088000397e-07,9.38417679137227e-05,3.7074750309686e-05,0.00252391068645574,0.000155703737393826,0.000188071826996494,3.90589495720248e-05,0.000218151938415919,0,0.000833910602138499,0.000159585340138461,4.3385753202875e-06,3.03877210285659e-05,0.00062641265493762,2.89971733300613e-05,0,2.65689647097994e-05,0.000350742479280169,3.85437908755486e-06,0.00121240458086297,3.19152908805035e-05,0.00238153751423824,0.000162970486920521,2.10569287527484e-06,0.000252015782860802,1.19214234540961e-05,4.99379124466913e-07,1.23005466362925e-07,6.81530282594331e-06,0,5.9469961080325e-06,2.35328653647644e-06,7.42373551990205e-06,0.000227124619938744,8.73889430268049e-05,0.000228234466996487,6.68624893208038e-06,8.28229624128587e-06,6.18201721816932e-07,4.16036078003491e-05,6.46253881214104e-06,1.6372674842379e-05,0.000474273903436529,0.00019258427867793,0.000324398683803927,5.81279138245073e-05,0,0,4.803015490356e-05,0.000276711114068012,0,1.57966490415799e-05,8.6844471335372e-05,0,0,3.5748084510761e-05,9.16607476437968e-06,8.41053169183548e-05,3.72693045289276e-06,0.00726992632544582,0.00387391576165142,1.17812664005136e-05,5.97050121160198e-05,0,0.000128451338474734,4.59913218566126e-05,0.000192669158715175,0.000627701682567686,3.19230282270594e-05,1.2301696650002e-07,0.000228603419080572,2.47549875111088e-07,0,6.18213376760508e-06,7.43565587983939e-07,8.35213636131911e-05,8.67470463842828e-07,4.62080441668101e-05,8.84893735473389e-05,4.10962684735515e-06,8.3218577785212e-06,2.48204449890938e-06,1.24306988538896e-07,2.40271090751462e-05,9.31500100259753e-06,0.000107412070295066,8.94482310369652e-06,4.49171623115746e-05,5.78240116117529e-05,7.59215714810845e-05,7.16174625625995e-05,7.43174479567031e-05,4.09165414495642e-05
