family	minimum
Marinifilaceae	5.5
Marinifilaceae	5.5
Marinifilaceae	6
Marinifilaceae	7
Marinifilaceae	5.5
Marinifilaceae	6.3
Marinifilaceae	6.5
Marinifilaceae	5.9
Marinifilaceae	6.5
Marinifilaceae	6
Marinifilaceae	6
Marinilabiliaceae	7.5
Marinilabiliaceae	7.5
Marinilabiliaceae	5.5
Marinilabiliaceae	5
Marinilabiliaceae	6
Marinilabiliaceae	6
Marinilabiliaceae	6
Marinilabiliaceae	6
Marinilabiliaceae	6.5
Marinilabiliaceae	6.9
Marinilabiliaceae	6
Marinilabiliaceae	6.5
Marinilabiliaceae	6
Marinilabiliaceae	5
Marinilabiliaceae	7
Marinilabiliaceae	6
Marinilabiliaceae	8.5
Marinilabiliaceae	6.5
Marinilabiliaceae	7
Marinilabiliaceae	5.5
Prolixibacteraceae	4.2
Prolixibacteraceae	6
Prolixibacteraceae	5
Prolixibacteraceae	5.5
Prolixibacteraceae	5
Prolixibacteraceae	5.5
Prolixibacteraceae	6
Prolixibacteraceae	6
Prolixibacteraceae	5.5
Prolixibacteraceae	6
Prolixibacteraceae	6
Prolixibacteraceae	6
Prolixibacteraceae	6
Prolixibacteraceae	6
Prolixibacteraceae	5
Prolixibacteraceae	4.5
Prolixibacteraceae	5
Prolixibacteraceae	6
Prolixibacteraceae	5
Prolixibacteraceae	5.4
Prolixibacteraceae	5
Prolixibacteraceae	6
Prolixibacteraceae	6
Prolixibacteraceae	6.5
