family	optimum
Marinifilaceae	7
Marinifilaceae	7.5
Marinifilaceae	7.5
Marinifilaceae	6.5
Marinifilaceae	7.0
Marinifilaceae	7.5
Marinifilaceae	7.5
Marinifilaceae	7.5
Marinifilaceae	7
Marinifilaceae	7
Marinilabiliaceae	8.5
Marinilabiliaceae	9.7
Marinilabiliaceae	6.8
Marinilabiliaceae	7
Marinilabiliaceae	7
Marinilabiliaceae	7
Marinilabiliaceae	7.5
Marinilabiliaceae	7.5
Marinilabiliaceae	7.5
Marinilabiliaceae	7.5
Marinilabiliaceae	7.5
Marinilabiliaceae	7.5
Marinilabiliaceae	7.5
Marinilabiliaceae	7.5
Marinilabiliaceae	8
Marinilabiliaceae	7
Marinilabiliaceae	7
Marinilabiliaceae	9.5
Marinilabiliaceae	7.5
Marinilabiliaceae	8
Marinilabiliaceae	7
Prolixibacteraceae	7
Prolixibacteraceae	7.5
Prolixibacteraceae	7
Prolixibacteraceae	7.5
Prolixibacteraceae	7
Prolixibacteraceae	7
Prolixibacteraceae	7
Prolixibacteraceae	7
Prolixibacteraceae	7.5
Prolixibacteraceae	7.5
Prolixibacteraceae	7
Prolixibacteraceae	7
Prolixibacteraceae	7.5
Prolixibacteraceae	7
Prolixibacteraceae	7
Prolixibacteraceae	6.5
Prolixibacteraceae	7
Prolixibacteraceae	7.5
Prolixibacteraceae	7.5
Prolixibacteraceae	7.5
Prolixibacteraceae	7
Prolixibacteraceae	7
Prolixibacteraceae	7
Prolixibacteraceae	7.5
