SampleID	Group
T00C01	T00C
T00C02	T00C
T00C03	T00C
T00C04	T00C
T00C05	T00C
T00C06	T00C
T00C07	T00C
T00C08	T00C
T00C09	T00C
T00C10	T00C
T00C11	T00C
T00C12	T00C
T00C13	T00C
T00C14	T00C
T00C15	T00C
T00C16	T00C
T00C17	T00C
T00C18	T00C
T00C19	T00C
T00C20	T00C
T05C01	T05C
T05C02	T05C
T05C03	T05C
T05C04	T05C
T05C05	T05C
T05C06	T05C
T05C07	T05C
T05C08	T05C
T05C09	T05C
T05C10	T05C
T05C11	T05C
T05C12	T05C
T05C13	T05C
T05C14	T05C
T05C15	T05C
T05C16	T05C
T05C17	T05C
T05C18	T05C
T05C19	T05C
T05C20	T05C
T05M01	T05M
T05M02	T05M
T05M03	T05M
T05M04	T05M
T05M05	T05M
T05M06	T05M
T05M07	T05M
T05M08	T05M
T05M09	T05M
T05M10	T05M
T05M11	T05M
T05M12	T05M
T05M13	T05M
T05M14	T05M
T05M15	T05M
T05M16	T05M
T05M17	T05M
T05M18	T05M
T05M19	T05M
T05M20	T05M
T12C01	T12C
T12C02	T12C
T12C03	T12C
T12C04	T12C
T12C05	T12C
T12C06	T12C
T12C07	T12C
T12C08	T12C
T12C09	T12C
T12C10	T12C
T12C11	T12C
T12C12	T12C
T12C13	T12C
T12C14	T12C
T12C15	T12C
T12C16	T12C
T12C17	T12C
T12C18	T12C
T12C19	T12C
T12C20	T12C
T12M01	T12M
T12M02	T12M
T12M03	T12M
T12M04	T12M
T12M05	T12M
T12M06	T12M
T12M07	T12M
T12M08	T12M
T12M09	T12M
T12M10	T12M
T12M11	T12M
T12M12	T12M
T12M13	T12M
T12M14	T12M
T12M15	T12M
T12M16	T12M
T12M17	T12M
T12M18	T12M
T12M19	T12M
T12M20	T12M
T21C01	T21C
T21C02	T21C
T21C03	T21C
T21C04	T21C
T21C05	T21C
T21C06	T21C
T21C07	T21C
T21C08	T21C
T21C09	T21C
T21C10	T21C
T21C11	T21C
T21C12	T21C
T21C13	T21C
T21C14	T21C
T21C15	T21C
T21C16	T21C
T21C17	T21C
T21C18	T21C
T21C19	T21C
T21C20	T21C
T21M01	T21M
T21M02	T21M
T21M03	T21M
T21M04	T21M
T21M05	T21M
T21M06	T21M
T21M07	T21M
T21M08	T21M
T21M09	T21M
T21M10	T21M
T21M11	T21M
T21M12	T21M
T21M13	T21M
T21M14	T21M
T21M15	T21M
T21M16	T21M
T21M17	T21M
T21M18	T21M
T21M19	T21M
T21M20	T21M
T30C01	T30C
T30C02	T30C
T30C03	T30C
T30C04	T30C
T30C05	T30C
T30C06	T30C
T30C07	T30C
T30C08	T30C
T30C09	T30C
T30C10	T30C
T30C11	T30C
T30C12	T30C
T30C13	T30C
T30C14	T30C
T30C15	T30C
T30C16	T30C
T30C17	T30C
T30C18	T30C
T30C19	T30C
T30C20	T30C
T30M01	T30M
T30M02	T30M
T30M03	T30M
T30M04	T30M
T30M05	T30M
T30M06	T30M
T30M07	T30M
T30M08	T30M
T30M09	T30M
T30M10	T30M
T30M11	T30M
T30M12	T30M
T30M13	T30M
T30M14	T30M
T30M15	T30M
T30M16	T30M
T30M17	T30M
T30M18	T30M
T30M19	T30M
T30M20	T30M
