OTUID	T00C01	T00C02	T00C03	T00C04	T00C05	T00C06	T00C07	T00C08	T00C09	T00C10	T00C11	T00C12	T00C13	T00C14	T00C15	T00C16	T00C17	T00C18	T00C19	T00C20	T05C01	T05C02	T05C03	T05C04	T05C05	T05C06	T05C07	T05C08	T05C09	T05C10	T05C11	T05C12	T05C13	T05C14	T05C15	T05C16	T05C17	T05C18	T05C19	T05C20	T05M01	T05M02	T05M03	T05M04	T05M05	T05M06	T05M07	T05M08	T05M09	T05M10	T05M11	T05M12	T05M13	T05M14	T05M15	T05M16	T05M17	T05M18	T05M19	T05M20	T12C01	T12C02	T12C03	T12C04	T12C05	T12C06	T12C07	T12C08	T12C09	T12C10	T12C11	T12C12	T12C13	T12C14	T12C15	T12C16	T12C17	T12C18	T12C19	T12C20	T12M01	T12M02	T12M03	T12M04	T12M05	T12M06	T12M07	T12M08	T12M09	T12M10	T12M11	T12M12	T12M13	T12M14	T12M15	T12M16	T12M17	T12M18	T12M19	T12M20	T21C01	T21C02	T21C03	T21C04	T21C05	T21C06	T21C07	T21C08	T21C09	T21C10	T21C11	T21C12	T21C13	T21C14	T21C15	T21C16	T21C17	T21C18	T21C19	T21C20	T21M01	T21M02	T21M03	T21M04	T21M05	T21M06	T21M07	T21M08	T21M09	T21M10	T21M11	T21M12	T21M13	T21M14	T21M15	T21M16	T21M17	T21M18	T21M19	T21M20	T30C01	T30C02	T30C03	T30C04	T30C05	T30C06	T30C07	T30C08	T30C09	T30C10	T30C11	T30C12	T30C13	T30C14	T30C15	T30C16	T30C17	T30C18	T30C19	T30C20	T30M01	T30M02	T30M03	T30M04	T30M05	T30M06	T30M07	T30M08	T30M09	T30M10	T30M11	T30M12	T30M13	T30M14	T30M15	T30M16	T30M17	T30M18	T30M19	T30M20
f_67-14	3	8	9	6	10	2	10	11	6	12	9	12	2	7	6	11	3	13	3	13	2	5	1	0	5	0	5	0	3	3	3	0	2	0	0	1	2	0	3	0	1	6	1	0	0	8	1	3	2	3	3	4	0	1	2	2	2	1	3	2	0	0	1	3	2	0	0	2	0	0	1	0	1	0	1	1	2	1	2	0	4	4	0	1	3	7	2	0	2	2	3	1	2	3	1	3	4	2	4	8	0	1	1	3	1	1	3	3	1	1	1	1	1	2	0	0	0	0	0	0	4	0	1	0	5	2	3	3	5	6	5	4	5	2	12	2	2	2	2	8	1	1	0	0	0	0	3	1	0	0	2	1	1	0	0	1	2	0	1	0	1	5	7	1	4	6	3	2	3	2	4	1	0	3	4	5	3	2	4	5
f_A4b	3	2	1	0	2	1	5	0	0	0	1	4	1	0	3	4	0	7	4	4	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	3	2	1	0	0	0	0	0	2	0	2	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	3	2	0	1	2	0	0	0	1	1	1	0	2	1	2	4	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	5	0	0	0	3	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Acanthopleuribacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Acholeplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	1	3	2	0	1	0	1	1	0	1	1	4	0	0	0	1	1	1	0	0	0	1	0	0	0	3	2	2	0	0	1	0	0	0	0	3	1	2	0	1	0	1	3	0	3	0	0	0	0	1	1	0	2	1	2	2	15	2	1	28	2	4	4	1	27	8	1	0	2	0	0	0	1	4	2	0	2	1	1	2	1	0	3	4	0	0	0	0	0	0	1	1	3	1	0	5	537	2	4	2	11	0	5	1	1	3	0	0	0	0	1	8	0	2	0	4
f_Acidaminococcaceae	21	10	13	28	37	23	25	11	13	14	19	39	0	2	0	1	0	0	0	7	73	6	286	41	403	1	182	550	301	421	86	930	491	88	96	807	157	1450	494	1652	3473	1823	3289	2790	1890	1717	966	2264	3236	1861	2452	2889	4135	3100	4003	3030	2524	2894	3543	2478	25	420	25	60	0	1	1	0	2	688	3	0	0	2	22	33	4	2	3	156	2843	3491	1102	1034	3291	1937	2048	2479	10	1512	1436	0	2274	1792	2330	2149	3998	2232	3343	656	59	11	113	44	3	5	157	8	0	15	505	338	8	5	107	837	5	254	289	294	1768	2337	1039	2239	2604	2320	4613	4305	3297	3475	3055	2336	4237	3761	2098	1703	4532	895	1735	3493	1	703	479	1	25	9	8	0	456	3	1	9	42	9	16	33	9	40	1	1	253	4271	2472	3872	394	2623	3196	3033	3899	3211	867	1458	2950	5277	2176	5431	3584	5926	1080	2269
f_Acidiferrobacteraceae	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	0	1	3	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	1	1	3	1	0	2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	1	2	1	2	1	1	2	1	2	2	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Actinomycetaceae	0	1	2	2	0	0	1	1	0	3	1	1	0	0	1	1	0	1	2	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	0	2	0	0	0	1	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	6	14	3	15	0	30	18	14	7	3	0	22	16	10	6	24	14	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	24	9	0	0	20	17	2	7	0	25	3	13	2	0	13	2	8	2	22
f_ADurb.Bin408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	1	1	2	1	2	2	4	3	1	3	2	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	1	0	3	1	0	1	1	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Aeromonadaceae	3	4	1	4	2	3	4	8	6	2	4	3	10	6	1	1	4	2	0	1	11	12	1	0	0	5	2	0	6	2	5	2	2	1	4	2	0	5	1	1	2	2	2	12	6	0	11	12	1	0	1	0	0	2	16	11	5	2	5	1	5	0	0	1	1	0	0	6	4	2	0	1	5	0	3	1	0	0	0	7	7	8	6	8	0	7	13	2	4	9	10	3	0	3	1	1	1	3	1	3	1	0	1	0	0	0	0	1	0	0	4	1	0	1	0	27	10	10	0	0	5	6	10	6	1	7	6	4	9	11	12	5	9	9	13	8	0	4	8	2	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	1	0	1	0	0	5	6	3	1	9	0	4	2	7	2	12	6	7	7	7	6	3	0	8	8
f_AKAU3564_sediment_group	2	0	1	0	1	1	0	4	1	0	1	1	0	0	0	0	0	2	1	2	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	3	2	3	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	1	0	0	1	0	0	0	1	1	3	0	0	4	2	0	0	2	2	2	0	2	2	0	0	2	2	0	1	7	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0
f_Akkermansiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	5	0	0	1	1	1	0	0	4	1	3	3	1	3	2
f_AKYG1722	1	6	5	2	8	1	5	3	4	5	4	4	0	2	5	2	1	5	4	5	2	0	0	0	0	0	0	0	0	1	0	1	1	0	4	0	0	1	0	1	0	0	0	1	1	2	0	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	1	1	2	1	0	0	0	1	2	3	1	0	0	0	1	1	1	0	1	3	1	0	0	0	2	2	2	1	2	0	0	1	1	1	2	2	2	1	0	0	1	1	0	0	1	1	0	2	0	3	0	2	1	0	0	1	0	0	1	0	0	0	6	0	0	0	1	3	6	0	5	2	7	0	4	2	4	0	1	0	0	2	0	1	0	1	0	4	0	2	4	1	0	1	1	0	0	1	1	0	4	1	1	1	2	1	3	3	2	0	1	1	1	0	1	1	4	0
f_AKYH767	1	0	2	1	1	0	3	2	0	0	2	3	1	1	0	0	0	2	2	2	0	1	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	1	0
f_Alcanivoracaceae1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	3	0	2	1	1	0	0	0	0	2	0	0	0	0	2
f_Alicyclobacillaceae	0	0	0	0	0	0	0	3	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
