gpPairs	adonis.F	adonis.p	anosim.r	anosim.p	mrpp.delta	mrpp.p
T00C_vs_T05C	30.0351549118195	0.001	0.973901315789474	0.001	0.293918408350859	0.001
T00C_vs_T12C	33.6426133391583	0.001	0.941776315789474	0.001	0.29707151703817	0.001
T00C_vs_T21C	42.9178186917687	0.001	0.995092105263158	0.001	0.302639808882046	0.001
T00C_vs_T30C	52.7402475076083	0.001	1	0.001	0.274924161381636	0.001
T00C_vs_T05M	20.4257713324428	0.001	0.902059210526316	0.001	0.287453918122744	0.001
T00C_vs_T12M	16.3855621528933	0.001	0.825730263157895	0.001	0.292727483573848	0.001
T00C_vs_T21M	15.5971443471802	0.001	0.777111842105263	0.001	0.289546563540667	0.001
T00C_vs_T30M	17.4392189668217	0.001	0.882473684210526	0.001	0.289213741338895	0.001
T05C_vs_T05M	14.3511594241765	0.001	0.815605263157895	0.001	0.304495252209732	0.001
T12C_vs_T12M	24.1019748379493	0.001	0.843960526315789	0.001	0.312921926348147	0.001
T21C_vs_T21M	29.2980667615455	0.001	0.941565789473684	0.001	0.315309298158843	0.001
T30C_vs_T30M	37.0262492112414	0.001	0.999763157894737	0.001	0.28726082845666	0.001
