OTUID	T05C01	T05C02	T05C03	T05C04	T05C05	T05C06	T05C07	T05C08	T05C09	T05C10	T05C11	T05C12	T05C13	T05C14	T05C15	T05C16	T05C17	T05C18	T05C19	T05C20	T12C01	T12C02	T12C03	T12C04	T12C05	T12C06	T12C07	T12C08	T12C09	T12C10	T12C11	T12C12	T12C13	T12C14	T12C15	T12C16	T12C17	T12C18	T12C19	T12C20	T21C01	T21C02	T21C03	T21C04	T21C05	T21C06	T21C07	T21C08	T21C09	T21C10	T21C11	T21C12	T21C13	T21C14	T21C15	T21C16	T21C17	T21C18	T21C19	T21C20	T30C01	T30C02	T30C03	T30C04	T30C05	T30C06	T30C07	T30C08	T30C09	T30C10	T30C11	T30C12	T30C13	T30C14	T30C15	T30C16	T30C17	T30C18	T30C19	T30C20
OTU100	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	2	1	0	0	0	0	1	0
OTU1006	0	0	1	0	2	0	1	0	0	3	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OTU1011	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
OTU1012	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1013	0	2	0	0	2	0	1	0	0	2	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU1025	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2
OTU1028	1	5	6	1	4	1	8	2	2	6	1	2	5	0	1	1	5	1	3	2	0	0	0	0	1	3	3	0	1	0	1	0	2	0	3	0	0	0	1	1	1	1	0	0	2	0	2	1	3	1	1	1	1	4	0	2	0	0	0	0	0	2	2	3	0	1	0	3	0	0	2	0	0	1	2	0	1	1	1	1
OTU1029	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	2	0	2	1
OTU103	1	2	3	1	5	4	9	2	0	4	3	8	1	4	4	2	6	1	3	0	2	2	5	7	4	2	5	9	3	2	9	12	1	4	1	8	0	11	5	0	1	2	0	0	1	0	3	1	0	1	0	3	2	3	1	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	3	3	1	2
OTU1030	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	2	0	0	1	0	0	2	0	2	0	2	1	1	0	0	0	0	1	3	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	1	1	2	0	0	0	0	1	1	2	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	2
