SampleID	Group
T05C01	T05C
T05C02	T05C
T05C03	T05C
T05C04	T05C
T05C05	T05C
T05C06	T05C
T05C07	T05C
T05C08	T05C
T05C09	T05C
T05C10	T05C
T05C11	T05C
T05C12	T05C
T05C13	T05C
T05C14	T05C
T05C15	T05C
T05C16	T05C
T05C17	T05C
T05C18	T05C
T05C19	T05C
T05C20	T05C
T12C01	T12C
T12C02	T12C
T12C03	T12C
T12C04	T12C
T12C05	T12C
T12C06	T12C
T12C07	T12C
T12C08	T12C
T12C09	T12C
T12C10	T12C
T12C11	T12C
T12C12	T12C
T12C13	T12C
T12C14	T12C
T12C15	T12C
T12C16	T12C
T12C17	T12C
T12C18	T12C
T12C19	T12C
T12C20	T12C
T21C01	T21C
T21C02	T21C
T21C03	T21C
T21C04	T21C
T21C05	T21C
T21C06	T21C
T21C07	T21C
T21C08	T21C
T21C09	T21C
T21C10	T21C
T21C11	T21C
T21C12	T21C
T21C13	T21C
T21C14	T21C
T21C15	T21C
T21C16	T21C
T21C17	T21C
T21C18	T21C
T21C19	T21C
T21C20	T21C
T30C01	T30C
T30C02	T30C
T30C03	T30C
T30C04	T30C
T30C05	T30C
T30C06	T30C
T30C07	T30C
T30C08	T30C
T30C09	T30C
T30C10	T30C
T30C11	T30C
T30C12	T30C
T30C13	T30C
T30C14	T30C
T30C15	T30C
T30C16	T30C
T30C17	T30C
T30C18	T30C
T30C19	T30C
T30C20	T30C
