OTUID	T05M01	T05M02	T05M03	T05M04	T05M05	T05M06	T05M07	T05M08	T05M09	T05M10	T05M11	T05M12	T05M13	T05M14	T05M15	T05M16	T05M17	T05M18	T05M19	T05M20	T12M01	T12M02	T12M03	T12M04	T12M05	T12M06	T12M07	T12M08	T12M09	T12M10	T12M11	T12M12	T12M13	T12M14	T12M15	T12M16	T12M17	T12M18	T12M19	T12M20	T21M01	T21M02	T21M03	T21M04	T21M05	T21M06	T21M07	T21M08	T21M09	T21M10	T21M11	T21M12	T21M13	T21M14	T21M15	T21M16	T21M17	T21M18	T21M19	T21M20	T30M01	T30M02	T30M03	T30M04	T30M05	T30M06	T30M07	T30M08	T30M09	T30M10	T30M11	T30M12	T30M13	T30M14	T30M15	T30M16	T30M17	T30M18	T30M19	T30M20
OTU100	0	0	1	0	1	3	1	0	1	1	2	2	2	1	0	1	2	0	1	2	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	3	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
OTU1003	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	6	0	4	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	6	0	2	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU1006	0	0	0	0	2	3	1	0	2	0	0	2	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	2	0	0	1	0	1	0	2	3	1	0	2	0	0	0	1	0	0	1	1	0	0	3	0	0	0	1	0	1	1	1	0	0	4	0	2	0	0	1	2	1	1	0	0	1	1	3	1	0	0	0
OTU101	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
OTU1011	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	1	0	1	0	1	2
OTU1012	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
OTU1013	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OTU1025	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0
OTU1028	0	3	3	1	9	5	3	5	5	12	3	3	2	0	2	1	3	3	3	3	2	3	2	0	0	3	1	4	1	4	2	1	7	9	2	7	3	6	9	8	4	2	2	0	5	6	3	7	2	9	8	11	7	2	6	5	6	8	3	5	2	3	6	3	6	3	1	4	9	4	4	6	1	3	6	3	1	0	13	7
OTU103	4	5	2	13	10	13	4	12	7	4	3	11	3	3	2	4	4	6	4	4	15	4	5	0	6	5	1	7	14	6	3	6	10	6	6	9	4	3	11	4	4	4	11	2	8	3	8	13	6	2	15	7	5	13	14	11	3	5	9	7	3	4	7	2	4	13	3	2	3	2	22	2	2	3	0	4	4	8	3	10
