SampleID	Group
T05M01	T05M
T05M02	T05M
T05M03	T05M
T05M04	T05M
T05M05	T05M
T05M06	T05M
T05M07	T05M
T05M08	T05M
T05M09	T05M
T05M10	T05M
T05M11	T05M
T05M12	T05M
T05M13	T05M
T05M14	T05M
T05M15	T05M
T05M16	T05M
T05M17	T05M
T05M18	T05M
T05M19	T05M
T05M20	T05M
T12M01	T12M
T12M02	T12M
T12M03	T12M
T12M04	T12M
T12M05	T12M
T12M06	T12M
T12M07	T12M
T12M08	T12M
T12M09	T12M
T12M10	T12M
T12M11	T12M
T12M12	T12M
T12M13	T12M
T12M14	T12M
T12M15	T12M
T12M16	T12M
T12M17	T12M
T12M18	T12M
T12M19	T12M
T12M20	T12M
T21M01	T21M
T21M02	T21M
T21M03	T21M
T21M04	T21M
T21M05	T21M
T21M06	T21M
T21M07	T21M
T21M08	T21M
T21M09	T21M
T21M10	T21M
T21M11	T21M
T21M12	T21M
T21M13	T21M
T21M14	T21M
T21M15	T21M
T21M16	T21M
T21M17	T21M
T21M18	T21M
T21M19	T21M
T21M20	T21M
T30M01	T30M
T30M02	T30M
T30M03	T30M
T30M04	T30M
T30M05	T30M
T30M06	T30M
T30M07	T30M
T30M08	T30M
T30M09	T30M
T30M10	T30M
T30M11	T30M
T30M12	T30M
T30M13	T30M
T30M14	T30M
T30M15	T30M
T30M16	T30M
T30M17	T30M
T30M18	T30M
T30M19	T30M
T30M20	T30M
