Network Indexes	D00C	D05C	D05M	D12C	D12M	D21C	D21M	D30C	D30M
Total nodes	270	210	160	344	225	291	277	218	203
Total links	1108	653	391	1375	1264	836	1012	546	339
Modules	17	20	22	24	21	27	26	29	33
R square of power-law	0.761844595	0.79299607	0.80405727	0.846763851	0.64334102	0.851619784	0.842022041	0.891109633	0.94341777
Average degree (avgK)	8.207407407	6.219047619	4.8875	7.994186047	11.23555556	5.745704467	7.306859206	5.009174312	3.339901478
Average clustering coefficient (avgCC)	0.186	0.18	0.269	0.162	0.162	0.136	0.19	0.201	0.206
Average path distance (APD)	3.602264175	3.765766769	3.177457677	3.846666936	3.134503961	4.273537746	3.142160052	2.949556622	3.689810117
Graph Density (GD)	0.031	0.03	0.031	0.023	0.05	0.02	0.026	0.023	0.017
Modularity	0.454498951	0.512694385	0.468858131	0.518381752	0.254737447	0.495102991	0.413809484	0.55440332	0.611080655
Nestedness	0.12	0.12	0.15	0.11	0.30	0.11	0.17	0.12	0.09
Relative modularity (RM)	0.465	0.4026	0.1128	0.629	0.0057	0.265	0.2378	0.311	0.1134
Relative nestedness (RN)	2.1693	2.2979	2.6247	2.8457	4.0592	3.3467	4.1462	2.913	2.7333
No. of large modules	7	4	6	7	7	11	6	5	7
No. of nodes in large modules	247	175	122	301	192	256	232	164	143
Percentage of nodes in large modules	0.915	0.833	0.763	0.875	0.853	0.88	0.838	0.752	0.704
Positive links	99.19	98.93	98.72	97.6	98.02	97.01	98.02	91.39	84.96
Negative links	0.81	1.07	1.28	2.4	1.98	2.99	1.98	8.61	15.04
