Network Indexes	D05C	D05M	D12C	D12M	D21C	D21M	D30C	D30M
Nodes	210	160	344	225	291	277	218	203
Links	653	391	1375	1264	836	1012	546	339
RM	0.4026	0.1128	0.629	0.0057	0.265	0.2378	0.311	0.1134
RN	2.2979	2.6247	2.8457	4.0592	3.3467	4.1462	2.913	2.7333
avgK	6.219047619	4.8875	7.994186047	11.23555556	5.745704467	7.306859206	5.009174312	3.339901478
avgCC	0.18	0.269	0.162	0.162	0.136	0.19	0.201	0.206
Modularity	0.512694385	0.468858131	0.518381752	0.254737447	0.495102991	0.413809484	0.55440332	0.611080655
GD	0.03	0.031	0.023	0.05	0.02	0.026	0.023	0.017
Persistence	0.209973753	0.093555094	0.086092715	0.169047619	0.385093168	0.314606742	0.340206186	0.36239782
RemoveTarget	0.820253165	0.704181818	0.833320313	0.793314286	0.729174312	0.74702439	0.636688742	0.494647887
RemoveRandom	0.319050633	0.274090909	0.353125	0.349485714	0.286146789	0.306926829	0.25410596	0.19
