OTU4812	106	116	102	102	105	117	128	49	144	116	54	141	5	160	108	54	141	33	80	83
OTU4187	173	175	143	184	148	168	159	178	173	132	130	178	6	200	178	68	136	5	61	66
OTU4613	29	29	45	43	18	31	35	31	24	30	16	52	NA	40	28	21	22	6	7	14
OTU3135	7	7	1	9	8	8	4	9	12	11	6	6	NA	8	5	5	4	NA	1	1
OTU4803	3	8	5	3	4	2	8	7	8	7	2	7	4	5	4	2	NA	NA	NA	NA
OTU3062	5	4	3	10	9	3	2	3	10	7	7	4	NA	3	3	1	2	NA	2	1
OTU3282	10	22	34	19	14	18	22	15	44	23	18	43	NA	18	57	30	9	NA	10	11
OTU2866	25	29	13	23	22	11	18	15	38	41	25	19	5	37	10	3	23	NA	4	2
OTU8195	2	9	9	7	8	3	4	15	6	10	2	6	6	7	6	2	NA	NA	NA	NA
OTU8657	28	30	26	21	35	21	30	56	42	33	14	57	22	43	23	26	3	1	1	NA
OTU4759	60	94	86	87	87	102	96	61	123	66	62	133	2	108	72	66	114	39	72	62
OTU4132	85	133	61	85	92	32	68	94	92	71	44	85	35	97	48	28	10	5	3	4
OTU7092	6	4	5	9	7	1	2	9	8	9	2	7	2	4	6	2	NA	NA	NA	NA
OTU2788	8	5	11	5	14	4	8	1	7	4	5	14	NA	6	6	3	8	NA	2	3
OTU6680	8	7	3	2	2	4	7	5	6	7	4	10	5	6	4	2	NA	NA	NA	NA
OTU3806	58	40	29	42	37	24	31	55	46	32	12	38	26	65	19	14	6	7	1	1
OTU3316	15	29	11	18	29	10	8	17	11	13	5	9	NA	21	8	9	44	NA	12	10
OTU2179	25	7	19	18	14	3	20	9	13	33	61	23	1	13	21	31	30	54	45	53
OTU2506	15	15	3	11	7	15	10	22	31	7	8	6	2	32	7	10	1	2	NA	NA
OTU3294	8	19	23	15	26	27	9	10	12	19	14	12	5	24	24	9	34	NA	95	68
OTU1119	6	2	7	3	7	4	8	4	8	5	3	8	NA	3	5	2	NA	NA	NA	NA
OTU7083	51	61	47	45	49	29	40	53	55	62	23	53	21	80	38	22	12	5	3	NA
OTU1945	12	12	2	13	20	1	10	11	19	10	6	12	1	12	6	NA	7	2	3	2
OTU2086	19	13	11	14	11	14	15	20	23	16	9	18	2	22	12	6	1	3	NA	2
OTU5653	48	41	20	28	48	17	33	49	46	40	12	48	16	66	42	7	6	5	1	NA
OTU6594	8	5	4	6	7	1	7	7	10	1	1	4	1	6	2	1	NA	NA	NA	NA
OTU5576	3	3	4	1	7	3	3	5	2	5	2	2	1	2	2	1	NA	NA	NA	NA
OTU1874	11	22	3	4	6	7	7	15	14	12	4	4	9	8	10	4	1	3	NA	NA
OTU3536	47	53	34	42	41	28	26	37	46	38	91	25	25	56	12	2	74	32	31	29
