OTU3992	78	34	72	30	141	30	123	130	120	361	258	141	154	127	198	97	115	116	112	123
OTU4132	138	66	126	50	198	61	182	239	227	452	370	210	212	200	354	166	155	199	147	179
OTU442	66	28	71	17	130	26	73	120	99	198	172	88	96	93	186	97	93	111	94	78
OTU6841	47	13	44	2	42	14	30	44	46	95	73	42	38	47	63	41	27	83	55	36
OTU3806	93	54	119	21	167	43	106	143	99	243	245	115	155	119	195	107	84	180	109	102
OTU5340	19	7	16	6	24	3	15	14	20	30	26	10	18	11	20	14	13	27	17	20
OTU6403	55	18	29	20	80	18	75	71	75	113	120	43	56	66	97	62	67	85	56	64
OTU455	85	33	61	23	115	24	71	89	107	175	190	86	88	82	159	73	55	127	80	80
OTU6254	1762	2184	1036	10	2602	2297	4601	4299	3291	3470	3055	2334	4234	3753	2098	1698	4527	889	1734	3490
OTU7440	47	24	52	23	102	25	81	97	85	208	169	81	79	74	121	76	82	88	77	110
OTU3983	5	1	5	NA	7	1	3	4	8	9	7	4	11	1	11	6	3	5	2	5
OTU4762	5	6	3	NA	12	8	13	10	6	33	23	18	26	22	19	14	9	12	12	12
OTU5195	15	5	19	NA	36	6	22	18	32	22	32	18	4	34	51	23	23	25	25	20
OTU5974	6	2	8	NA	21	4	10	9	14	23	16	11	11	8	13	9	7	15	12	4
OTU5465	70	36	62	27	106	17	64	75	89	163	157	78	96	72	123	66	68	142	75	78
OTU4815	53	21	22	8	50	15	52	56	41	114	129	41	62	33	81	47	51	32	46	42
OTU5783	22	8	26	3	40	11	31	42	33	72	66	31	49	29	51	32	18	57	29	32
OTU1677	23	13	22	8	45	5	32	39	26	36	58	11	17	24	55	23	19	40	23	35
OTU1605	93	32	72	32	81	39	82	85	85	99	126	135	109	98	130	77	54	131	80	66
OTU2770	10	9	3	NA	18	5	4	10	5	16	7	7	8	8	11	9	5	1	9	7
OTU7527	33	9	23	14	42	16	48	54	46	105	108	33	55	63	100	59	55	52	64	56
OTU5653	101	68	62	19	192	33	71	109	82	180	144	121	112	102	164	74	80	113	76	70
OTU3860	10	3	5	NA	5	3	7	7	9	12	13	8	10	5	20	5	13	8	5	9
OTU8053	4	3	5	NA	5	2	4	4	6	10	12	2	5	3	12	8	7	7	9	5
OTU5128	48	11	14	11	48	16	48	52	32	75	83	35	47	43	71	49	42	35	35	48
OTU5151	19	5	5	NA	34	9	15	20	24	23	29	15	8	20	47	15	13	13	15	18
OTU1810	2	NA	NA	NA	2	NA	3	2	NA	3	2	NA	1	NA	2	NA	2	2	NA	NA
OTU3968	6	6	4	NA	24	2	8	5	11	13	15	7	9	7	13	7	11	6	5	4
OTU4412	7	1	5	1	8	1	3	11	8	14	11	6	13	6	12	6	6	9	9	2
OTU5444	8	1	6	NA	7	4	5	3	7	14	19	3	8	4	10	4	4	17	2	3
OTU2086	87	43	93	22	97	11	79	100	101	173	181	41	65	86	148	53	69	117	57	81
OTU8804	15	14	29	1	33	16	25	16	46	55	65	21	45	15	38	27	20	30	18	25
OTU2442	10	9	3	NA	9	4	9	9	8	8	25	11	7	6	8	3	3	10	6	7
OTU7471	18	13	13	3	39	9	32	29	15	29	44	19	25	13	42	14	19	35	21	25
OTU8757	1	4	2	NA	10	2	5	4	7	9	6	8	4	4	8	6	2	7	3	4
OTU4331	5	2	4	NA	13	2	8	1	6	11	13	6	7	9	9	9	4	3	4	8
OTU8700	18	8	16	7	41	7	19	21	27	36	46	29	23	32	41	22	15	36	17	16
OTU3483	9	4	7	NA	3	2	9	7	13	14	15	6	5	6	15	4	5	6	9	8
OTU1425	22	9	4	1	21	4	18	37	21	88	41	9	36	31	40	22	26	4	19	30
OTU2224	2	2	6	NA	6	3	8	4	8	15	14	10	7	7	18	3	9	12	8	9
OTU637	8	3	8	NA	7	4	4	12	10	13	28	16	5	11	9	11	10	10	7	3
OTU7549	26	21	21	4	33	10	29	28	24	46	49	19	24	24	34	19	23	24	20	27
OTU791	10	7	11	6	18	4	11	9	11	18	28	12	9	10	28	7	12	10	13	10
OTU438	1	2	2	NA	3	1	5	6	1	2	2	6	4	2	3	1	3	3	3	3
OTU2935	3	3	NA	NA	20	1	8	9	8	8	8	1	9	6	8	6	6	2	8	7
OTU2753	12	9	13	NA	14	8	4	17	12	20	17	19	15	12	12	3	8	9	5	4
OTU6602	12	10	3	2	16	10	10	30	12	56	37	13	28	28	33	22	17	4	9	20
OTU8678	28	5	30	10	70	9	31	28	38	76	68	22	36	33	74	35	26	40	31	38
OTU8235	5	4	3	NA	10	2	10	7	9	9	26	4	5	10	12	8	5	11	9	12
OTU3953	1	1	2	NA	3	1	1	1	3	5	2	4	8	3	4	2	1	4	3	3
OTU4665	16	15	13	9	31	2	21	18	16	30	39	13	27	14	36	13	14	30	14	14
OTU7644	27	8	36	10	51	5	33	29	28	59	70	38	31	37	67	35	33	34	33	32
OTU5119	6	3	2	NA	5	3	3	6	9	15	6	3	4	5	8	7	5	22	6	4
OTU2340	63	44	99	34	123	30	89	82	108	194	196	81	107	105	162	96	83	142	67	123
OTU110	195	166	95	222	152	60	148	93	123	25	60	130	51	250	122	192	208	145	135	79
OTU3638	29	37	44	33	52	5	23	38	25	4	7	2	10	90	43	73	60	25	42	22
OTU3169	6	8	1	1	7	5	8	5	7	8	20	6	11	11	7	14	9	6	10	9
OTU1936	29	18	37	3	70	10	34	38	37	43	128	42	34	42	78	33	27	36	33	42
OTU1028	4	2	2	NA	5	6	3	7	2	9	8	11	7	2	6	5	6	8	3	5
OTU3536	93	45	80	66	137	54	111	110	113	171	205	128	129	108	151	104	84	163	105	103
OTU5570	33	11	9	4	46	11	38	30	30	67	62	26	54	45	34	32	24	18	27	31
OTU8195	22	7	17	3	26	5	17	18	27	36	43	25	33	22	33	17	21	28	20	21
OTU8218	8	2	7	NA	5	1	4	3	6	9	9	3	6	9	12	5	9	6	6	6
