#module: 29
modularity: 0.554403319513209
No	ID	No..module	Zi	Pi
1	OTU4812	5	-0.626077341733235	0
2	OTU4747	5	2.08535535629942	0.260355029585799
3	OTU2340	3	-0.103430695725641	0
4	OTU4544	5	-0.626077341733235	0
5	OTU3294	5	-0.927347641514641	0
6	OTU4266	5	0.57900385739239	0
7	OTU3282	5	0.277733557610984	0
8	OTU4505	5	-0.174171892061126	1.11022302462516e-16
9	OTU3992	3	0.995520446359299	0
10	OTU4740	5	-0.0235367421704224	0
11	OTU4796	5	2.23599050619012	0.0798611111111112
12	OTU2461	4	1.92668658897113	0.32
13	OTU4788	5	3.89297715498786	0.22353714661407
14	OTU4684	5	1.1815444569552	0
15	OTU6403	3	0.555939989525323	0
16	OTU7440	3	0.995520446359299	0
17	OTU5455	3	2.53405204527822	0
18	OTU3266	5	1.78408505651802	0
19	OTU3262	5	-0.324807041951829	0
20	OTU4865	5	1.1815444569552	0
21	OTU4238	5	0.57900385739239	0.142011834319527
22	OTU1605	3	0.995520446359299	0
23	OTU3303	1	-0.205911382607755	0.5
24	OTU7083	3	1.87468136002725	1.11022302462516e-16
25	OTU3457	5	0.277733557610984	0.277777777777778
26	OTU3259	5	0.127098407720281	0
27	OTU3806	3	0.995520446359299	0
28	OTU4541	5	-0.626077341733235	0.444444444444444
29	OTU4394	5	0.57900385739239	0.142011834319527
30	OTU4408	1	0.343185637679591	0.5
31	OTU3442	5	2.08535535629942	0.0831758034026465
32	OTU3267	29	NA	0
33	OTU4132	3	2.09447158844424	0
34	OTU3593	2	0.253546276418555	0
35	OTU4758	5	-0.324807041951829	0
36	OTU110	11	1.15470053837925	0
37	OTU4695	5	0.729639007283093	0.13265306122449
38	OTU4187	5	1.63344990662731	0
39	OTU3398	5	0.127098407720281	0
40	OTU4291	1	0.892282657966937	0.5
41	OTU4209	5	-0.174171892061126	1.11022302462516e-16
42	OTU2283	3	1.21531067477629	0
43	OTU4803	20	NA	0
44	OTU2869	5	-0.626077341733235	0
45	OTU2824	7	1.15470053837925	0.444444444444444
46	OTU5151	3	-0.982591609393594	0
47	OTU4387	3	-0.32322092414263	0
48	OTU5768	6	-0.577350269189626	0
49	OTU5653	3	1.43510090319328	0.142011834319527
50	OTU4793	3	0.775730217942311	0.314049586776859
51	OTU3987	3	-0.762801380976606	0
52	OTU3090	5	-0.324807041951829	0.244897959183674
53	OTU4529	5	-0.475442191842532	0.277777777777778
54	OTU3027	3	-0.762801380976606	0
55	OTU1704	3	-0.103430695725641	0
56	OTU4323	5	-0.0235367421704224	0.197530864197531
57	OTU442	3	1.43510090319328	0
58	OTU7644	3	0.555939989525323	0
59	OTU6750	2	0.253546276418555	0
60	OTU4750	3	-0.103430695725641	0
61	OTU3354	5	-0.776712491623938	0
62	OTU4448	5	1.1815444569552	0
63	OTU2351	1	1.99047669854163	0.444444444444444
64	OTU2847	1	2.53957371882898	0.21875
65	OTU5092	3	-0.762801380976606	0
66	OTU4884	5	-0.626077341733235	0
67	OTU4761	25	NA	0
68	OTU4815	3	-0.32322092414263	0
69	OTU3313	5	-0.324807041951829	0
70	OTU5783	3	-0.543011152559618	0
71	OTU455	3	2.53405204527822	0
72	OTU4246	5	-0.776712491623938	0
73	OTU5465	3	2.53405204527822	0
74	OTU2765	1	-0.755008402895101	0.444444444444444
75	OTU1321	21	NA	0
76	OTU6578	3	0.775730217942311	0
77	OTU2888	5	-1.07798279140534	0
78	OTU4621	5	-0.174171892061126	0.21875
79	OTU2862	1	-0.755008402895101	0.444444444444444
80	OTU4233	5	-0.927347641514641	0
81	OTU3197	2	0.253546276418555	0
82	OTU530	3	-0.982591609393594	0
83	OTU2185	3	-0.982591609393594	0
84	OTU6781	5	-1.07798279140534	0
85	OTU3316	5	-0.475442191842532	0
86	OTU3984	3	0.336149761108335	1.11022302462516e-16
87	OTU6543	3	0.336149761108335	0.21875
88	OTU3142	3	-0.543011152559618	0
89	OTU3062	3	-0.982591609393594	0
90	OTU3536	3	0.775730217942311	0
91	OTU3080	5	-0.324807041951829	0
92	OTU4702	9	-0.577350269189626	0
93	OTU3245	3	0.116359532691347	0
94	OTU4397	5	-0.0235367421704224	0
95	OTU6738	10	-0.577350269189626	0
96	OTU3860	3	-0.982591609393594	0
97	OTU1402	3	-0.762801380976606	0
98	OTU8657	3	0.775730217942311	0
99	OTU6780	5	2.08535535629942	0
100	OTU1557	19	NA	0
101	OTU4767	5	-0.626077341733235	0
102	OTU2086	6	-0.577350269189626	0
103	OTU3968	3	-0.762801380976606	0
104	OTU4237	8	1.15470053837925	0
105	OTU4188	12	NA	0.5
106	OTU6602	3	-0.982591609393594	0
107	OTU5570	13	NA	0.5
108	OTU3488	3	-0.982591609393594	0
109	OTU2405	3	-0.982591609393594	0
110	OTU2759	3	-0.32322092414263	0
111	OTU6610	5	-0.0235367421704224	0
112	OTU7527	3	1.65489113161026	0
113	OTU5152	18	NA	0
114	OTU7907	3	0.555939989525323	0
115	OTU6520	5	0.127098407720281	0.18
116	OTU6423	9	1.15470053837925	0
117	OTU3213	1	-0.205911382607755	0.444444444444444
118	OTU6475	5	0.277733557610984	0.165289256198347
119	OTU3067	3	-0.762801380976606	0
120	OTU5128	3	-0.103430695725641	0
121	OTU2756	3	-0.543011152559618	0
122	OTU4545	2	-1.01418510567422	0
123	OTU3527	17	NA	0
124	OTU5649	16	NA	0
125	OTU4649	3	-0.982591609393594	0
126	OTU7249	4	0.27524094128159	0
127	OTU3531	15	NA	0
128	OTU6792	28	NA	0
129	OTU6496	1	-0.205911382607755	0
130	OTU4659	5	0.277733557610984	0.408163265306122
131	OTU2882	1	-0.205911382607755	0
132	OTU6591	5	-0.324807041951829	0
133	OTU3474	26	NA	0
134	OTU4196	2	0.253546276418555	0
135	OTU4204	2	-1.01418510567422	0
136	OTU3148	3	0.116359532691347	0
137	OTU1874	24	NA	0
