Number.hub.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
1	0	0	0	weighted	Yes	D05C
2	0	0	0	weighted	Yes	D05C
3	0	0	0	weighted	Yes	D05C
4	0	0	0	weighted	Yes	D05C
5	0	0	0	weighted	Yes	D05C
6	0	0	0	weighted	Yes	D05C
7	0	0	0	weighted	Yes	D05C
8	0	0	0	weighted	Yes	D05C
9	0	0	0	weighted	Yes	D05C
10	0	0	0	weighted	Yes	D05C
11	0	0	0	weighted	Yes	D05C
12	0	0	0	weighted	Yes	D05C
13	0	0	0	weighted	Yes	D05C
14	0	0	0	weighted	Yes	D05C
15	0	0	0	weighted	Yes	D05C
16	0	0	0	weighted	Yes	D05C
17	0	0	0	weighted	Yes	D05C
18	0	0	0	weighted	Yes	D05C
19	0	0	0	weighted	Yes	D05C
20	0	0	0	weighted	Yes	D05C
21	0	0	0	weighted	Yes	D05C
22	0	0	0	weighted	Yes	D05C
23	0	0	0	weighted	Yes	D05C
24	0	0	0	weighted	Yes	D05C
25	0	0	0	weighted	Yes	D05C
26	0	0	0	weighted	Yes	D05C
27	0	0	0	weighted	Yes	D05C
28	0	0	0	weighted	Yes	D05C
29	0	0	0	weighted	Yes	D05C
30	0	0	0	weighted	Yes	D05C
1	0	0	0	unweighted	Yes	D05C
2	0	0	0	unweighted	Yes	D05C
3	0	0	0	unweighted	Yes	D05C
4	0	0	0	unweighted	Yes	D05C
5	0	0	0	unweighted	Yes	D05C
6	0	0	0	unweighted	Yes	D05C
7	0	0	0	unweighted	Yes	D05C
8	0	0	0	unweighted	Yes	D05C
9	0	0	0	unweighted	Yes	D05C
10	0	0	0	unweighted	Yes	D05C
11	0	0	0	unweighted	Yes	D05C
12	0	0	0	unweighted	Yes	D05C
13	0	0	0	unweighted	Yes	D05C
14	0	0	0	unweighted	Yes	D05C
15	0	0	0	unweighted	Yes	D05C
16	0	0	0	unweighted	Yes	D05C
17	0	0	0	unweighted	Yes	D05C
18	0	0	0	unweighted	Yes	D05C
19	0	0	0	unweighted	Yes	D05C
20	0	0	0	unweighted	Yes	D05C
21	0	0	0	unweighted	Yes	D05C
22	0	0	0	unweighted	Yes	D05C
23	0	0	0	unweighted	Yes	D05C
24	0	0	0	unweighted	Yes	D05C
25	0	0	0	unweighted	Yes	D05C
26	0	0	0	unweighted	Yes	D05C
27	0	0	0	unweighted	Yes	D05C
28	0	0	0	unweighted	Yes	D05C
29	0	0	0	unweighted	Yes	D05C
30	0	0	0	unweighted	Yes	D05C
1	0.816012658227848	0.00162298987326737	0.000162298987326737	weighted	No	D05C
2	0.815316455696203	0.00244381594724918	0.000244381594724918	weighted	No	D05C
3	0.814367088607595	0.00325033969443212	0.000325033969443212	weighted	No	D05C
4	0.813987341772152	0.00358649789029538	0.000358649789029538	weighted	No	D05C
5	0.813417721518987	0.00376106663345005	0.000376106663345005	weighted	No	D05C
6	0.812658227848101	0.00402304889977045	0.000402304889977045	weighted	No	D05C
7	0.811898734177215	0.00441436820278201	0.000441436820278201	weighted	No	D05C
8	0.811329113924051	0.00428553856009653	0.000428553856009653	weighted	No	D05C
9	0.810632911392405	0.0052206713558417	0.00052206713558417	weighted	No	D05C
10	0.81006329113924	0.00520631336677347	0.000520631336677347	weighted	No	D05C
11	0.81006329113924	0.00512800670344207	0.000512800670344207	weighted	No	D05C
12	0.809113924050633	0.00465005982683292	0.000465005982683292	weighted	No	D05C
13	0.808607594936709	0.00459755464563796	0.000459755464563796	weighted	No	D05C
14	0.807088607594937	0.00543335058216365	0.000543335058216365	weighted	No	D05C
15	0.806645569620253	0.00542552556954954	0.000542552556954954	weighted	No	D05C
16	0.805696202531646	0.0049680989056343	0.00049680989056343	weighted	No	D05C
17	0.805126582278481	0.00519074654058011	0.000519074654058011	weighted	No	D05C
18	0.804810126582278	0.00506648665305764	0.000506648665305764	weighted	No	D05C
19	0.803481012658228	0.00495790792278885	0.000495790792278885	weighted	No	D05C
20	0.804556962025316	0.00443266238892971	0.000443266238892971	weighted	No	D05C
21	0.80373417721519	0.0048855618288028	0.00048855618288028	weighted	No	D05C
22	0.802784810126582	0.00498598444473245	0.000498598444473245	weighted	No	D05C
23	0.802025316455696	0.00450509630887395	0.000450509630887395	weighted	No	D05C
24	0.801012658227848	0.00405510557311927	0.000405510557311927	weighted	No	D05C
25	0.800949367088608	0.00415904266248586	0.000415904266248586	weighted	No	D05C
26	0.800189873417722	0.00351355227635716	0.000351355227635716	weighted	No	D05C
27	0.799177215189873	0.00309735577262351	0.000309735577262351	weighted	No	D05C
28	0.798607594936709	0.00244381594724914	0.000244381594724914	weighted	No	D05C
29	0.798164556962025	0.00199029137807099	0.000199029137807099	weighted	No	D05C
30	0.79746835443038	0	0	weighted	No	D05C
1	0.822278481012658	0.00172569572369805	0.000172569572369805	unweighted	No	D05C
2	0.82120253164557	0.00289757286723019	0.000289757286723019	unweighted	No	D05C
3	0.820822784810127	0.00356386277690286	0.000356386277690286	unweighted	No	D05C
4	0.820949367088608	0.00315431150587624	0.000315431150587624	unweighted	No	D05C
5	0.820253164556962	0.00381659929845272	0.000381659929845272	unweighted	No	D05C
6	0.817974683544304	0.00450868745835526	0.000450868745835526	unweighted	No	D05C
7	0.818987341772152	0.00421940928270044	0.000421940928270044	unweighted	No	D05C
8	0.818101265822785	0.00408493023757965	0.000408493023757965	unweighted	No	D05C
9	0.816645569620253	0.00479865589677549	0.000479865589677549	unweighted	No	D05C
10	0.816835443037975	0.00545861174936882	0.000545861174936882	unweighted	No	D05C
11	0.815506329113924	0.00479190554225127	0.000479190554225127	unweighted	No	D05C
12	0.81493670886076	0.00590717299578062	0.000590717299578062	unweighted	No	D05C
13	0.815	0.00553480008375479	0.000553480008375479	unweighted	No	D05C
14	0.813670886075949	0.00564088269126299	0.000564088269126299	unweighted	No	D05C
15	0.813607594936709	0.00557268516523503	0.000557268516523503	unweighted	No	D05C
16	0.812594936708861	0.0050001658927031	0.00050001658927031	unweighted	No	D05C
17	0.81120253164557	0.005172004503009	0.0005172004503009	unweighted	No	D05C
18	0.811392405063291	0.00508879906460363	0.000508879906460363	unweighted	No	D05C
19	0.810759493670886	0.00535987288549375	0.000535987288549375	unweighted	No	D05C
20	0.809620253164557	0.00498273730375328	0.000498273730375328	unweighted	No	D05C
21	0.809556962025316	0.00493500375446196	0.000493500375446196	unweighted	No	D05C
22	0.809050632911392	0.00532617337533616	0.000532617337533616	unweighted	No	D05C
23	0.807721518987342	0.00379320393045252	0.000379320393045252	unweighted	No	D05C
24	0.807151898734177	0.00406855372776131	0.000406855372776131	unweighted	No	D05C
25	0.807278481012658	0.00425521820719868	0.000425521820719868	unweighted	No	D05C
26	0.805949367088608	0.00327081545480835	0.000327081545480835	unweighted	No	D05C
27	0.805506329113924	0.00282402559074985	0.000282402559074985	unweighted	No	D05C
28	0.804936708860759	0.00260412797429901	0.000260412797429901	unweighted	No	D05C
29	0.804240506329114	0.00162298987326737	0.000162298987326737	unweighted	No	D05C
30	0.80379746835443	0	0	unweighted	No	D05C
1	0	0	0	weighted	Yes	D05C
2	0	0	0	weighted	Yes	D05C
3	0	0	0	weighted	Yes	D05C
4	0	0	0	weighted	Yes	D05C
5	0	0	0	weighted	Yes	D05C
6	0	0	0	weighted	Yes	D05C
7	0	0	0	weighted	Yes	D05C
8	0	0	0	weighted	Yes	D05C
9	0	0	0	weighted	Yes	D05C
10	0	0	0	weighted	Yes	D05C
11	0	0	0	weighted	Yes	D05C
12	0	0	0	weighted	Yes	D05C
13	0	0	0	weighted	Yes	D05C
14	0	0	0	weighted	Yes	D05C
15	0	0	0	weighted	Yes	D05C
16	0	0	0	weighted	Yes	D05C
17	0	0	0	weighted	Yes	D05C
18	0	0	0	weighted	Yes	D05C
19	0	0	0	weighted	Yes	D05C
20	0	0	0	weighted	Yes	D05C
21	0	0	0	weighted	Yes	D05C
22	0	0	0	weighted	Yes	D05C
23	0	0	0	weighted	Yes	D05C
24	0	0	0	weighted	Yes	D05C
25	0	0	0	weighted	Yes	D05C
26	0	0	0	weighted	Yes	D05C
27	0	0	0	weighted	Yes	D05C
28	0	0	0	weighted	Yes	D05C
29	0	0	0	weighted	Yes	D05C
30	0	0	0	weighted	Yes	D05C
1	0	0	0	unweighted	Yes	D05C
2	0	0	0	unweighted	Yes	D05C
3	0	0	0	unweighted	Yes	D05C
4	0	0	0	unweighted	Yes	D05C
5	0	0	0	unweighted	Yes	D05C
6	0	0	0	unweighted	Yes	D05C
7	0	0	0	unweighted	Yes	D05C
8	0	0	0	unweighted	Yes	D05C
9	0	0	0	unweighted	Yes	D05C
10	0	0	0	unweighted	Yes	D05C
11	0	0	0	unweighted	Yes	D05C
12	0	0	0	unweighted	Yes	D05C
13	0	0	0	unweighted	Yes	D05C
14	0	0	0	unweighted	Yes	D05C
15	0	0	0	unweighted	Yes	D05C
16	0	0	0	unweighted	Yes	D05C
17	0	0	0	unweighted	Yes	D05C
18	0	0	0	unweighted	Yes	D05C
19	0	0	0	unweighted	Yes	D05C
20	0	0	0	unweighted	Yes	D05C
21	0	0	0	unweighted	Yes	D05C
22	0	0	0	unweighted	Yes	D05C
23	0	0	0	unweighted	Yes	D05C
24	0	0	0	unweighted	Yes	D05C
25	0	0	0	unweighted	Yes	D05C
26	0	0	0	unweighted	Yes	D05C
27	0	0	0	unweighted	Yes	D05C
28	0	0	0	unweighted	Yes	D05C
29	0	0	0	unweighted	Yes	D05C
30	0	0	0	unweighted	Yes	D05C
1	0.816012658227848	0.00162298987326737	0.000162298987326737	weighted	No	D05C
