Number.hub.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
1	0.0048780487804878	0	0	weighted	Yes	D21M
2	0.0048780487804878	0	0	weighted	Yes	D21M
3	0.0048780487804878	0	0	weighted	Yes	D21M
4	0.0048780487804878	0	0	weighted	Yes	D21M
5	0.0048780487804878	0	0	weighted	Yes	D21M
6	0.0048780487804878	0	0	weighted	Yes	D21M
7	0.0048780487804878	0	0	weighted	Yes	D21M
8	0.0048780487804878	0	0	weighted	Yes	D21M
9	0.0048780487804878	0	0	weighted	Yes	D21M
10	0.0048780487804878	0	0	weighted	Yes	D21M
11	0.0048780487804878	0	0	weighted	Yes	D21M
12	0.0048780487804878	0	0	weighted	Yes	D21M
13	0.0048780487804878	0	0	weighted	Yes	D21M
14	0.0048780487804878	0	0	weighted	Yes	D21M
15	0.0048780487804878	0	0	weighted	Yes	D21M
16	0.0048780487804878	0	0	weighted	Yes	D21M
17	0.0048780487804878	0	0	weighted	Yes	D21M
18	0.0048780487804878	0	0	weighted	Yes	D21M
19	0.0048780487804878	0	0	weighted	Yes	D21M
20	0.0048780487804878	0	0	weighted	Yes	D21M
21	0.0048780487804878	0	0	weighted	Yes	D21M
22	0.0048780487804878	0	0	weighted	Yes	D21M
23	0.0048780487804878	0	0	weighted	Yes	D21M
24	0.0048780487804878	0	0	weighted	Yes	D21M
25	0.0048780487804878	0	0	weighted	Yes	D21M
26	0.0048780487804878	0	0	weighted	Yes	D21M
27	0.0048780487804878	0	0	weighted	Yes	D21M
28	0.0048780487804878	0	0	weighted	Yes	D21M
29	0.0048780487804878	0	0	weighted	Yes	D21M
30	0.0048780487804878	0	0	weighted	Yes	D21M
31	0.0048780487804878	0	0	weighted	Yes	D21M
32	0.0048780487804878	0	0	weighted	Yes	D21M
33	0.0048780487804878	0	0	weighted	Yes	D21M
34	0.0048780487804878	0	0	weighted	Yes	D21M
35	0.0048780487804878	0	0	weighted	Yes	D21M
36	0.0048780487804878	0	0	weighted	Yes	D21M
1	0.0048780487804878	0	0	unweighted	Yes	D21M
2	0.0048780487804878	0	0	unweighted	Yes	D21M
3	0.0048780487804878	0	0	unweighted	Yes	D21M
4	0.0048780487804878	0	0	unweighted	Yes	D21M
5	0.0048780487804878	0	0	unweighted	Yes	D21M
6	0.0048780487804878	0	0	unweighted	Yes	D21M
7	0.0048780487804878	0	0	unweighted	Yes	D21M
8	0.0048780487804878	0	0	unweighted	Yes	D21M
9	0.0048780487804878	0	0	unweighted	Yes	D21M
10	0.0048780487804878	0	0	unweighted	Yes	D21M
11	0.0048780487804878	0	0	unweighted	Yes	D21M
12	0.0048780487804878	0	0	unweighted	Yes	D21M
13	0.0048780487804878	0	0	unweighted	Yes	D21M
14	0.0048780487804878	0	0	unweighted	Yes	D21M
15	0.0048780487804878	0	0	unweighted	Yes	D21M
16	0.0048780487804878	0	0	unweighted	Yes	D21M
17	0.0048780487804878	0	0	unweighted	Yes	D21M
