Proportion.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
0.05	0.00169014084507042	0.00302277954923189	0.000302277954923189	weighted	Yes	D30M
0.1	0.0023943661971831	0.00335278329978538	0.000335278329978538	weighted	Yes	D30M
0.15	0.00302816901408451	0.00350401304194537	0.000350401304194537	weighted	Yes	D30M
0.2	0.00373239436619718	0.00353248984539853	0.000353248984539853	weighted	Yes	D30M
0.25	0.00422535211267606	0.0034673659430798	0.00034673659430798	weighted	Yes	D30M
0.3	0.00450704225352113	0.00339731092481987	0.000339731092481987	weighted	Yes	D30M
0.35	0.00380281690140845	0.00352752299973263	0.000352752299973263	weighted	Yes	D30M
0.4	0.00429577464788732	0.00345216288732533	0.000345216288732533	weighted	Yes	D30M
0.45	0.00457746478873239	0.00337586257352889	0.000337586257352889	weighted	Yes	D30M
0.5	0.00408450704225352	0.00349327439259759	0.000349327439259759	weighted	Yes	D30M
0.55	0.00352112676056338	0.00353886554668737	0.000353886554668737	weighted	Yes	D30M
0.6	0.00366197183098592	0.00353603332090618	0.000353603332090618	weighted	Yes	D30M
0.65	0.00394366197183099	0.0035132933209145	0.00035132933209145	weighted	Yes	D30M
0.7	0.00330985915492958	0.00353248984539853	0.000353248984539853	weighted	Yes	D30M
0.75	0.00408450704225352	0.00349327439259759	0.000349327439259759	weighted	Yes	D30M
0.8	0.00309859154929577	0.0035132933209145	0.00035132933209145	weighted	Yes	D30M
0.85	0.00330985915492958	0.00353248984539853	0.000353248984539853	weighted	Yes	D30M
0.9	0.00401408450704225	0.00350401304194537	0.000350401304194537	weighted	Yes	D30M
0.95	0.0021830985915493	0.0032734028078291	0.00032734028078291	weighted	Yes	D30M
1	0	0	0	weighted	Yes	D30M
0.05	0.00183098591549296	0.00310453522730147	0.000310453522730147	unweighted	Yes	D30M
0.1	0.0021830985915493	0.0032734028078291	0.00032734028078291	unweighted	Yes	D30M
0.15	0.00323943661971831	0.00352752299973263	0.000352752299973263	unweighted	Yes	D30M
0.2	0.00359154929577465	0.00353815770278656	0.000353815770278656	unweighted	Yes	D30M
0.25	0.00422535211267606	0.0034673659430798	0.00034673659430798	unweighted	Yes	D30M
0.3	0.00408450704225352	0.00349327439259759	0.000349327439259759	unweighted	Yes	D30M
0.35	0.00387323943661972	0.00352112676056338	0.000352112676056338	unweighted	Yes	D30M
