from	to	type
OTU2198	OTU8418	0.9790737
OTU3992	OTU442	0.96557
OTU5455	OTU5653	0.9584178
OTU110	OTU2179	0.954171
OTU4884	OTU791	0.95141
OTU2179	OTU2198	0.9490719
OTU4266	OTU4759	0.9488143
OTU3457	OTU4759	0.9463045
OTU3457	OTU4884	0.9633924
OTU3906	OTU408	0.9429034
OTU7832	OTU7836	0.9427166
OTU3271	OTU4759	0.9421361
OTU2179	OTU4545	0.9419503
OTU4759	OTU4812	0.9392152
OTU4884	OTU8678	0.9406491
OTU4759	OTU4884	0.9569072
OTU4266	OTU4884	0.962565
OTU5653	OTU8876	0.9483571
OTU442	OTU4815	0.9327705
OTU4884	OTU7092	0.9311233
OTU2759	OTU2824	0.9250834
OTU3163	OTU4759	0.9280081
OTU8657	OTU8876	0.9231465
OTU1936	OTU482	0.9203584
OTU3987	OTU4759	0.9198187
OTU2759	OTU2866	0.9188723
OTU2866	OTU5333	0.9231742
OTU4132	OTU442	0.9174691
OTU5333	OTU8678	0.9162445
OTU3316	OTU8118	0.9154303
OTU2224	OTU5333	0.9395833
OTU2506	OTU8055	0.9132339
OTU4545	OTU6042	0.9283619
OTU2198	OTU3523	0.9123824
OTU4759	OTU8678	0.9553075
OTU4884	OTU637	0.9111722
OTU7083	OTU7644	0.9111076
OTU3992	OTU4132	0.9078344
OTU1119	OTU1707	0.9069948
OTU4427	OTU5333	0.9067902
OTU6543	OTU7744	0.9043139
OTU7083	OTU8657	0.9333369
OTU3638	OTU3906	0.9208583
OTU7644	OTU8657	0.9020668
OTU1119	OTU530	0.901419
OTU2283	OTU5455	0.9013501
OTU3984	OTU3992	0.9012351
OTU4191	OTU4759	0.900495
OTU4762	OTU8907	0.8988023
OTU8804	OTU8976	0.8980238
OTU2933	OTU8104	0.8965835
OTU3992	OTU6403	0.9126309
OTU2179	OTU3163	0.895782
OTU4209	OTU4759	0.895035
OTU1119	OTU1936	0.8947221
OTU1108	OTU8118	0.8946896
OTU2715	OTU3671	0.8938966
OTU3899	OTU4846	0.8937094
OTU442	OTU6543	0.9094292
OTU8078	OTU8784	0.8929206
OTU4291	OTU4759	0.8903321
OTU4884	OTU7782	0.8959818
OTU1382	OTU4759	0.8980334
OTU3398	OTU4884	0.894907
OTU110	OTU1339	0.8883026
OTU3488	OTU8080	0.8873691
OTU4759	OTU7832	0.9086598
OTU5333	OTU637	0.8861191
OTU5653	OTU7083	0.8858484
OTU3671	OTU637	0.894654
OTU3142	OTU5039	0.8852728
OTU5444	OTU8804	0.8908739
OTU1677	OTU2340	0.8842676
OTU3531	OTU8118	0.8837446
OTU3638	OTU6042	0.914816
OTU3906	OTU7832	0.8925747
OTU4812	OTU4884	0.8829628
OTU2179	OTU8228	0.8933797
OTU1382	OTU2179	0.8828793
OTU2759	OTU4427	0.8821105
OTU4846	OTU7947	0.8812637
OTU3806	OTU5465	0.8809321
OTU3671	OTU4427	0.8808346
OTU4884	OTU8784	0.913665
OTU4846	OTU4884	0.8798605
OTU2405	OTU7644	0.8839801
OTU110	OTU3638	0.9041396
OTU1080	OTU4831	0.8768411
OTU442	OTU455	0.8766619
OTU3282	OTU4759	0.8759703
OTU3906	OTU4545	0.8748072
OTU1339	OTU4759	0.8851128
OTU7947	OTU8285	0.874349
OTU3227	OTU8197	0.8735261
OTU8078	OTU8228	0.8732827
OTU2824	OTU3439	0.8732028
OTU3142	OTU5570	0.8727845
OTU4745	OTU8080	0.8722642
OTU2759	OTU3488	0.8722116
OTU5333	OTU6374	0.8721996
OTU5039	OTU7527	0.8718345
OTU3899	OTU4812	0.8716241
OTU1675	OTU3671	0.8714613
OTU3457	OTU3671	0.8711208
OTU3270	OTU4831	0.8701574
OTU408	OTU8418	0.8701166
OTU3638	OTU8418	0.8699646
OTU3531	OTU4846	0.8694972
OTU3383	OTU4335	0.8693899
OTU2405	OTU3671	0.8691169
OTU2340	OTU3270	0.899853
OTU5444	OTU8657	0.8690698
OTU5653	OTU6816	0.8686222
OTU2866	OTU3536	0.8685229
OTU2086	OTU2396	0.8684005
OTU3764	OTU6617	0.8679661
OTU5333	OTU791	0.8679464
OTU1675	OTU4759	0.8772173
OTU2463	OTU3170	0.8673563
