from	to	type
OTU3992	OTU4132	0.9805033
OTU4132	OTU442	0.9654381
OTU3992	OTU7440	0.9783385
OTU442	OTU455	0.9513581
OTU6841	OTU6847	0.9468291
OTU3806	OTU5783	0.9743788
OTU5340	OTU5465	0.941982
OTU6403	OTU7440	0.9384075
OTU455	OTU5465	0.9682317
OTU6254	OTU8318	0.9324571
OTU7440	OTU7527	0.9293121
OTU3983	OTU8804	0.9460864
OTU4762	OTU6254	0.9279944
OTU5195	OTU8711	0.9274211
OTU5974	OTU6841	0.9264953
OTU5465	OTU5576	0.924167
OTU4815	OTU5128	0.9236467
OTU5783	OTU6841	0.9417892
OTU1677	OTU2086	0.9332031
OTU1605	OTU1874	0.9202646
OTU2770	OTU6254	0.9200406
OTU7527	OTU7976	0.9195872
OTU5653	OTU8876	0.9551989
OTU3860	OTU6254	0.9175967
OTU8053	OTU8804	0.9165905
OTU5128	OTU5765	0.9361926
OTU5151	OTU6254	0.9160895
OTU1810	OTU8646	0.915258
OTU3968	OTU6254	0.914107
OTU455	OTU4838	0.9292128
OTU5974	OTU8804	0.9237523
OTU4412	OTU442	0.9092944
OTU4132	OTU455	0.9573177
OTU6254	OTU8907	0.9110934
OTU3806	OTU3984	0.9229466
OTU5444	OTU8804	0.9362335
OTU2086	OTU2340	0.9025783
OTU8804	OTU8907	0.9019283
OTU2442	OTU6254	0.9019089
OTU7471	OTU7549	0.9018533
OTU3968	OTU8804	0.9088392
OTU8757	OTU8804	0.9000007
OTU4132	OTU7440	0.9628858
OTU4331	OTU8804	0.9071029
OTU8700	OTU8876	0.8987089
OTU6841	OTU8218	0.913953
OTU3483	OTU6841	0.8982207
OTU1425	OTU6602	0.9251998
OTU2224	OTU8804	0.9163272
OTU637	OTU6841	0.8972255
OTU7549	OTU8235	0.8971867
OTU791	OTU8275	0.8967158
OTU6254	OTU8235	0.8958535
OTU5128	OTU5570	0.9160842
OTU438	OTU6254	0.8954895
OTU2935	OTU3169	0.8948797
OTU6403	OTU7527	0.9386444
OTU2753	OTU6254	0.8940777
OTU3483	OTU6254	0.8930055
OTU5195	OTU6841	0.8922665
OTU6602	OTU7976	0.8922592
OTU8678	OTU8700	0.8910423
OTU8235	OTU8804	0.8907281
OTU8700	OTU896	0.8897193
OTU3953	OTU8804	0.8974342
OTU4665	OTU4803	0.8887857
OTU7644	OTU7744	0.8879656
OTU5119	OTU6841	0.902099
OTU2340	OTU3536	0.8872517
OTU6841	OTU8053	0.8940506
OTU110	OTU2179	0.8866608
OTU3638	OTU8583	0.8860634
OTU2224	OTU3142	0.8859501
OTU3169	OTU5744	0.8849721
OTU7644	OTU896	0.9434524
OTU1936	OTU2506	0.9085381
OTU7644	OTU8678	0.9269288
OTU1028	OTU6254	0.8833816
OTU3536	OTU3992	0.9155568
OTU5570	OTU7800	0.8823364
OTU4665	OTU673	0.8818699
OTU8195	OTU8657	0.9100548
OTU3953	OTU530	0.8810044
OTU8218	OTU8804	0.8808753
OTU5638	OTU8804	0.8895287
OTU6254	OTU7248	0.8801271
OTU2224	OTU6254	0.8800131
OTU6254	OTU8532	0.8787755
OTU8657	OTU8658	0.878514
OTU1119	OTU6254	0.8783468
OTU1108	OTU5938	0.8783304
OTU1108	OTU3638	0.8779428
OTU3483	OTU8804	0.8879506
OTU5974	OTU6254	0.8760836
OTU2405	OTU3536	0.8759287
OTU3806	OTU442	0.9536004
OTU5151	OTU6841	0.8758805
OTU455	OTU4815	0.8743613
OTU3860	OTU8804	0.9003724
OTU1282	OTU1605	0.8733469
OTU7744	OTU7907	0.8729763
OTU6254	OTU8757	0.8726898
OTU7549	OTU8195	0.8725835
OTU7549	OTU8318	0.8723795
OTU455	OTU4649	0.8722784
OTU5455	OTU5653	0.9009208
OTU2487	OTU6880	0.8719162
OTU7800	OTU7976	0.871637
OTU4690	OTU5128	0.8715476
OTU1756	OTU2086	0.8711792
OTU6254	OTU637	0.8711335
OTU3806	OTU3992	0.9075173
OTU6841	OTU7449	0.8709693
OTU4331	OTU6254	0.87031
OTU4838	OTU530	0.8698386
OTU5570	OTU5765	0.8693764
OTU1280	OTU1605	0.8692805
OTU5649	OTU6257	0.8690281
OTU5783	OTU5974	0.8689774
OTU5500	OTU6254	0.8679933
OTU5783	OTU7083	0.9357606
OTU6841	OTU8235	0.892513
OTU5744	OTU8751	0.8660457
OTU6254	OTU8218	0.8659944
OTU2550	OTU6870	0.8658912
OTU6254	OTU8053	0.8658442
