id	Node.Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
OTU1028	22	6.3322288	406	0.032794294	0.796536797	0.796536797	2	-0.271092749	0.08677686
OTU103	1	0	0	6.47e-05	0	0	4	-1.054255127	0
OTU1099	11	6.622408483	276	0.015250218	0.709090909	0.709090909	2	-0.809166627	0.429752066
OTU110	14	280.4479433	12081	0.001169074	0.472527473	0.472527473	4	0.933768827	0.336734694
OTU1108	10	402.0978365	21987	0.000217388	0.488888889	0.488888889	4	0.536164036	0.18
OTU1119	42	1010.211915	19051	0.037772377	0.422764228	0.422764228	2	0.556713218	0.046485261
OTU1120	3	1.353205183	13	0.001716987	0	0	3	-0.784249504	0.666666667
OTU1189	56	282.2945472	8653	0.06853817	0.512337662	0.512337662	2	0.26698113	0.553571429
OTU1225	10	396.3971563	6425	0.011442467	0.577777778	0.577777778	3	0.228482139	0.5
OTU1234	45	51.13873885	3841	0.071087346	0.671717172	0.671717172	2	0.26698113	0.39308642
OTU1280	50	339.6288702	11237	0.066338851	0.583673469	0.583673469	1	0.699905982	0.4736
OTU1282	18	227.7947401	6414	0.022349893	0.444444444	0.444444444	1	-0.590481153	0.549382716
OTU1287	17	219.6063418	6186	0.022200738	0.485294118	0.485294118	1	-0.590481153	0.553633218
OTU1288	7	0.093762439	4	0.009039086	0.952380952	0.952380952	3	-0.531066593	0.571428571
OTU1305	9	28.99747848	1419	0.000268341	0.416666667	0.416666667	4	0.138559245	0.345679012
OTU1319	10	42.75009442	1068	0.008656502	0.666666667	0.666666667	2	-0.726386031	0
OTU1321	46	376.2484879	11317	0.05428708	0.557487923	0.557487923	1	1.009598894	0.263705104
OTU1345	8	55.40834098	3573	0.003935571	0.535714286	0.535714286	1	-0.745327609	0.46875
OTU1372	4	787.1198574	10387	5.13e-05	0	0	6	1.788854382	0.375
OTU1382	14	336.6872439	14588	0.006451063	0.472527473	0.472527473	1	-0.435634697	0.336734694
OTU1393	13	6.940847728	536	0.017713612	0.717948718	0.717948718	2	-0.602215136	0
OTU1402	43	202.427518	5686	0.059391231	0.635658915	0.635658915	1	0.286982099	0.570037858
OTU1425	94	1590.154167	46313	0.111871149	0.414550446	0.414550446	2	1.177567694	0.552286102
OTU1452	93	1497.783095	38266	0.117173987	0.432912576	0.432912576	2	0.887835605	0.566770725
OTU1463	25	13.64963478	927	0.035596033	0.736666667	0.736666667	2	-0.146921854	0.0768
OTU1464	16	29.81937994	862	0.019870482	0.683333333	0.683333333	3	0.228482139	0.6640625
OTU1508	98	1355.296874	42479	0.089303378	0.304860088	0.304860088	2	2.709008733	0.096834652
OTU1513	31	211.0316166	6040	0.026866949	0.572043011	0.572043011	1	0.545059526	0.062434964
OTU1557	121	1561.340316	48126	0.14501499	0.377272727	0.377272727	2	2.129544556	0.464175944
OTU1605	65	282.1884171	11964	0.093286631	0.586057692	0.586057692	2	0.51532292	0.527337278
OTU1621	78	782.0546355	21121	0.087647793	0.384948385	0.384948385	2	1.591470677	0.26035503
OTU1642	24	17.10599574	1641	0.038566395	0.739130435	0.739130435	2	-0.188312152	0.079861111
OTU1644	1	0	0	7.15e-49	0	0	21	0	0
OTU1645	31	14.44446234	927	0.049944647	0.756989247	0.756989247	2	-0.022750959	0.224765869
OTU1661	18	5.828039752	426	0.027405897	0.777777778	0.777777778	2	-0.519434539	0.277777778
OTU1675	82	853.0221011	26297	0.103734087	0.459801265	0.459801265	1	1.009598894	0.603509816
OTU1677	27	129.8993455	2608	0.02828991	0.723646724	0.723646724	1	0.338597584	0.07133059
OTU1693	15	395.5925026	12703	0.019703962	0.695238095	0.695238095	2	-0.519434539	0
OTU1694	8	393.073545	12218	0.008351598	0.714285714	0.714285714	1	-0.590481153	0
OTU1756	16	76.56262368	1553	0.022073123	0.7	0.7	2	-0.560824837	0.21875
OTU1810	44	69.67771822	4705	0.069514538	0.640591966	0.640591966	2	0.184200533	0.424586777
OTU1874	82	983.2291245	34690	0.1038527	0.470942487	0.470942487	2	1.094787097	0.503271862
OTU1936	80	975.0140499	32914	0.086653518	0.404746835	0.404746835	2	2.005373661	0.09625
OTU1945	32	244.8004632	6794	0.033531005	0.641129032	0.641129032	1	0.596675011	0.060546875
OTU1954	18	85.16892503	2401	0.022340229	0.549019608	0.549019608	2	-0.519434539	0.277777778
OTU2086	98	1034.799796	45371	0.119069413	0.450031559	0.450031559	1	2.351601514	0.480424823
OTU2141	41	64.18060469	2733	0.051655367	0.682926829	0.682926829	1	0.803136953	0.259369423
OTU2179	13	168.6002993	8950	0.000768761	0.576923077	0.576923077	4	1.132571222	0.142011834
OTU2183	17	2.286229486	138	0.024799933	0.794117647	0.794117647	2	-0.436653942	0
OTU2198	12	18.16699813	640	0.000229013	0.696969697	0.696969697	4	1.132571222	0
OTU2224	16	77.13517599	1827	0.01732528	0.7	0.7	1	-0.17755727	0
OTU2274	19	485.5318131	29377	0.001955114	0.426900585	0.426900585	4	1.728978408	0.332409972
OTU2277	11	75.20812555	2515	0.006281523	0.254545455	0.254545455	3	0.988030872	0.396694215
OTU2283	43	430.7088876	8539	0.056648768	0.555924695	0.555924695	2	0.391152025	0.2401298
OTU2285	54	192.7474611	10430	0.078322157	0.575122292	0.575122292	2	0.680884113	0.31824417
OTU2297	47	92.65300019	4619	0.068924905	0.648473636	0.648473636	2	0.51532292	0.253508375
OTU2340	49	406.3071093	11554	0.063153863	0.637755102	0.637755102	1	1.06121438	0.316534777
OTU2382	2	393	6656	0.000270154	0	0	1	-0.900174065	0
OTU2396	92	726.8443989	27354	0.121372638	0.487338748	0.487338748	2	1.0120065	0.539697543
OTU2405	25	363.2632142	10555	0.02495417	0.523333333	0.523333333	1	0.080520157	0.2688
OTU2414	45	322.9868426	10043	0.061138547	0.593939394	0.593939394	2	0.308371428	0.369382716
OTU2416	1	0	0	7.15e-49	0	0	18	0	0
OTU242	5	393	15979	6.44e-05	0.6	0.6	4	-0.259045545	0
OTU2420	23	16.6767975	700	0.034980567	0.786561265	0.786561265	3	-0.024700772	0.620037807
OTU2427	1	0	0	5.26e-05	0	0	1	-0.951789551	0
OTU2441	1	0	0	7.15e-49	0	0	18	0	0
OTU2442	62	619.0740135	14125	0.042255038	0.280274987	0.280274987	2	1.301738589	0.093132154
OTU2477	7	791.6798475	14695	0.003389277	0.333333333	0.333333333	1	-0.642096638	0
OTU2481	49	248.6775082	9588	0.070222633	0.572278912	0.572278912	2	0.473932622	0.34485631
OTU2487	5	4.492492775	196	0.007073553	0.7	0.7	3	-0.531066593	0.64
OTU250	45	100.7820738	6915	0.068125538	0.665656566	0.665656566	2	0.308371428	0.345679012
OTU2506	74	1708.709023	39214	0.0932096	0.500925583	0.500925583	1	1.319291807	0.535062089
OTU2536	37	54.75789006	2724	0.057556901	0.717717718	0.717717718	1	0.132135643	0.482103725
OTU2537	89	963.1719558	29168	0.11579873	0.478804903	0.478804903	2	1.218957992	0.516096452
OTU2538	27	40.08855067	1591	0.039624183	0.709401709	0.709401709	3	0.48166505	0.647462277
OTU2561	13	520.9704339	7650	0.008686467	0.269230769	0.269230769	1	-0.487250182	0.355029586
OTU2581	26	246.9296365	7266	0.031625875	0.550769231	0.550769231	3	0.48166505	0.639053254
OTU2589	53	716.4369946	30352	0.071961018	0.622641509	0.622641509	1	0.751521467	0.514773941
OTU2598	80	748.923408	19571	0.095251582	0.463607595	0.463607595	2	1.75703187	0.2271875
OTU2601	9	0.705007234	43	0.011598511	0.805555556	0.805555556	2	-0.767776329	0
OTU2616	38	97.76714004	4720	0.055294107	0.624466572	0.624466572	2	0.101419936	0.342105263
OTU2620	13	5.595279779	218	0.020204034	0.807692308	0.807692308	1	-0.590481153	0.556213018
OTU2623	48	115.1306968	7633	0.071670976	0.595744681	0.595744681	2	0.432542323	0.353298611
OTU2715	33	438.20955	9709	0.043558591	0.556818182	0.556818182	2	-0.188312152	0.451790634
OTU2727	25	361.7954271	14133	0.025063855	0.603333333	0.603333333	1	0.235366613	0.0768
OTU2753	4	393	5930	0.004293837	0.5	0.5	3	-0.531066593	0.5
OTU2756	20	6.384103145	564	0.032094438	0.826315789	0.826315789	2	-0.353873346	0.095
OTU2766	14	1.83894521	145	0.024116281	0.824175824	0.824175824	2	-0.602215136	0.132653061
OTU2770	60	554.8491994	15743	0.077770744	0.507909605	0.507909605	2	0.308371428	0.566111111
OTU2771	19	1120.594823	22586	0.007604248	0.18128655	0.18128655	1	-0.022710814	0
OTU284	49	112.8033597	6209	0.073638369	0.619897959	0.619897959	2	0.308371428	0.448979592
OTU3067	24	357.6394198	15813	0.018191768	0.449275362	0.449275362	2	-0.146921854	0
OTU3068	38	59.75415703	5498	0.060187955	0.664295875	0.664295875	2	0.101419936	0.349030471
OTU3117	13	47.92583905	1110	0.013401365	0.371794872	0.371794872	1	-0.590481153	0.544378698
OTU3134	9	12.06930754	293	0.009228141	0.694444444	0.694444444	3	-0.024700772	0.49382716
OTU3142	64	1105.491127	30534	0.055995299	0.284722222	0.284722222	2	0.680884113	0.438964844
OTU3169	44	166.5951063	8313	0.06370329	0.601479915	0.601479915	1	0.235366613	0.534090909
OTU318	3	0	0	0.000808064	1	1	2	-1.016118119	0
OTU3259	32	76.70217066	3345	0.041945344	0.705645161	0.705645161	1	0.39021307	0.263671875
OTU3359	20	1134.166653	41739	0.013933562	0.473684211	0.473684211	1	-0.280788241	0.42
OTU3422	74	344.6816078	16171	0.102955177	0.507960015	0.507960015	2	0.76366471	0.528853178
OTU3523	24	1063.429648	47734	0.002156162	0.391304348	0.391304348	4	2.126583199	0.413194444
OTU3536	30	558.6550957	15203	0.022778109	0.429885057	0.429885057	1	0.441828555	0.126666667
OTU3544	2	0.668914419	7	0.00075881	0	0	3	-0.784249504	0.5
OTU360	5	0	0	0.004675304	1	1	2	-0.933337522	0
OTU3806	106	1293.487936	52351	0.131067902	0.438274933	0.438274933	1	1.990293117	0.55250979
OTU3833	5	395.5932424	9209	0.001532922	0.3	0.3	1	-0.745327609	0
OTU3860	74	351.3390386	13919	0.080823686	0.375416512	0.375416512	2	1.591470677	0.19284149
OTU3908	3	1.433419132	67	0.002392613	0.333333333	0.333333333	2	-1.016118119	0
OTU3909	38	34.41405363	3080	0.061339931	0.682788051	0.682788051	2	0.142810235	0.314404432
OTU3968	110	1964.905116	50578	0.126932113	0.366972477	0.366972477	2	1.798422169	0.47553719
OTU3983	10	0.816017147	54	0.012882381	0.8	0.8	2	-0.726386031	0
OTU3984	121	2076.955373	60580	0.14717184	0.392424242	0.392424242	1	1.577369234	0.521549075
OTU3987	50	272.9379579	10180	0.068962494	0.555102041	0.555102041	2	0.101419936	0.5088
OTU3992	91	1541.445261	59299	0.107261102	0.454700855	0.454700855	1	2.506447971	0.392223161
OTU4004	27	27.707962	1749	0.039962748	0.715099715	0.715099715	2	-0.188312152	0.252400549
OTU4023	28	27.82591952	1542	0.040616406	0.714285714	0.714285714	2	-0.064141257	0.132653061
OTU408	15	645.6189282	24847	0.003709588	0.40952381	0.40952381	1	-0.590481153	0.497777778
OTU4080	10	2.176992536	109	0.011988394	0.711111111	0.711111111	2	-0.726386031	0
OTU4132	149	2789.761783	84310	0.161375348	0.311627063	0.311627063	2	2.957350523	0.470159002
OTU4214	52	125.7450973	5968	0.077109414	0.613122172	0.613122172	2	0.391152025	0.420857988
OTU4231	50	107.0227376	7916	0.075421552	0.612244898	0.612244898	2	0.473932622	0.3656
OTU4257	1	0	0	7.15e-49	0	0	21	0	0
OTU4331	44	1485.658665	27214	0.062654985	0.606765328	0.606765328	2	-0.105531555	0.591942149
OTU438	80	351.0583406	13368	0.094774319	0.459177215	0.459177215	2	1.75703187	0.2265625
OTU4412	1	0	0	4.19e-06	0	0	1	-0.951789551	0
OTU442	135	2661.036901	71730	0.150681782	0.334770591	0.334770591	1	2.299986029	0.528065844
OTU455	87	1520.856683	39845	0.104968527	0.461641272	0.461641272	1	2.093524087	0.465054829
OTU46	3	0	0	0.002927221	1	1	3	-0.784249504	0.444444444
