from	to	corP
OTU1036	OTU5429	0.8587184
OTU1080	OTU3536	0.8956425
OTU1080	OTU7825	0.9029767
OTU110	OTU2198	0.9147734
OTU110	OTU3638	0.8509974
OTU110	OTU4447	0.8256865
OTU110	OTU6042	0.9122612
OTU110	OTU6491	0.8415055
OTU110	OTU8418	0.8803706
OTU1119	OTU1508	0.8492943
OTU1119	OTU1936	0.9230938
OTU1119	OTU2086	0.9286361
OTU1119	OTU3442	0.8448113
OTU1119	OTU3488	0.8866276
OTU1119	OTU4132	0.8608815
OTU1119	OTU5114	0.8201427
OTU1119	OTU5151	0.8283393
OTU1119	OTU5570	0.8292863
OTU1119	OTU6578	0.8490523
OTU1119	OTU6602	0.82421
OTU1119	OTU6841	0.8644162
OTU1119	OTU6898	0.8903959
OTU1119	OTU7083	0.8403694
OTU1119	OTU8085	0.8239329
OTU1119	OTU8657	0.827872
OTU1119	OTU8876	0.8386613
OTU1225	OTU4462	-0.8181243
OTU1234	OTU1508	0.8641258
OTU1280	OTU2756	0.816259
OTU1280	OTU4204	0.817316
OTU1280	OTU4815	0.8855838
OTU1280	OTU6780	0.8116177
OTU1280	OTU8055	0.9000027
OTU1319	OTU1945	0.8519477
OTU1319	OTU5866	0.8661681
OTU1425	OTU4132	0.8170347
OTU1425	OTU6590	-0.841158
OTU1508	OTU1675	0.8788511
OTU1508	OTU2769	0.8835133
OTU1508	OTU2770	0.8545751
OTU1508	OTU4759	0.8416173
OTU1508	OTU791	0.8518924
OTU1508	OTU8318	0.870133
OTU1508	OTU8881	0.8218152
OTU1605	OTU1874	0.8790815
OTU1605	OTU2283	0.9185179
OTU1605	OTU2506	0.8652934
OTU1605	OTU2756	0.8524981
OTU1605	OTU2763	0.8157275
OTU1605	OTU373	0.8778207
OTU1605	OTU3806	0.8590558
OTU1605	OTU3984	0.8715685
OTU1605	OTU3987	0.8976026
OTU1605	OTU3992	0.8223736
OTU1605	OTU4387	0.8819789
OTU1605	OTU442	0.8503234
OTU1605	OTU4803	0.8752986
OTU1605	OTU4838	0.8951215
OTU1605	OTU5528	0.8332882
OTU1605	OTU5576	0.8344184
OTU1605	OTU5653	0.9647008
OTU1605	OTU5783	0.9287916
OTU1605	OTU5789	0.8742198
OTU1605	OTU6594	0.874865
OTU1605	OTU6680	0.8575063
OTU1605	OTU6816	0.8739302
OTU1605	OTU6870	0.8109873
OTU1605	OTU7092	0.887032
OTU1605	OTU7644	0.9384529
OTU1605	OTU8195	0.8586566
OTU1605	OTU8275	0.8929882
OTU1605	OTU8657	0.9072058
OTU1605	OTU8678	0.9041411
OTU1605	OTU8804	0.9231943
OTU1605	OTU8876	0.9619146
OTU1605	OTU896	0.8605353
OTU1621	OTU5151	0.8365637
OTU1621	OTU6543	0.8400289
OTU1675	OTU3442	0.812923
OTU1675	OTU3488	0.8526481
OTU1675	OTU373	0.8673388
OTU1675	OTU6543	0.8182956
OTU1677	OTU1704	0.8434675
OTU1677	OTU2340	0.8358778
OTU1677	OTU3968	0.8448534
OTU1677	OTU4815	0.8168018
OTU1677	OTU5765	0.828075
OTU1704	OTU5455	0.8248442
OTU1704	OTU7744	0.9072314
OTU1874	OTU3806	0.9194589
OTU1874	OTU3992	0.8472138
OTU1874	OTU4132	0.8311503
OTU1874	OTU442	0.8252957
OTU1874	OTU5465	0.8314577
OTU1874	OTU5653	0.8408581
OTU1874	OTU8876	0.8436914
OTU1898	OTU3806	0.8369957
OTU1898	OTU4132	0.8480887
OTU1898	OTU442	0.8832966
OTU1898	OTU5465	0.8169158
OTU1898	OTU7083	0.8355881
OTU1898	OTU7440	0.8540882
OTU1898	OTU8657	0.8548158
OTU1936	OTU2283	0.8632055
OTU1936	OTU2537	0.8258869
OTU1936	OTU2589	0.8754036
OTU1936	OTU2770	0.8851284
OTU1936	OTU3806	0.8176456
OTU1936	OTU3984	0.902519
OTU1936	OTU4412	0.815911
OTU1936	OTU4833	0.8241191
OTU1936	OTU4923	0.8310233
OTU1936	OTU5653	0.8329293
OTU1936	OTU6541	0.8512009
OTU1936	OTU6578	0.8145134
OTU1936	OTU7083	0.8458184
OTU1936	OTU791	0.9072176
OTU1936	OTU8318	0.8809006
OTU1936	OTU8876	0.8527309
OTU1945	OTU3270	0.8325607
OTU1945	OTU5195	0.8257814
OTU1945	OTU6480	0.9237697
OTU2086	OTU2715	0.819046
OTU2086	OTU2756	0.8479659
OTU2086	OTU2770	0.9094724
OTU2086	OTU3067	0.8116183
OTU2086	OTU3806	0.825034
OTU2086	OTU4132	0.8123501
OTU2086	OTU4412	0.8565032
OTU2086	OTU4649	0.8676486
OTU2086	OTU4803	0.8109209
OTU2086	OTU5465	0.8598256
OTU2086	OTU5576	0.8241845
OTU2086	OTU6541	0.894102
OTU2086	OTU6594	0.8589421
OTU2086	OTU7092	0.8304811
OTU2086	OTU791	0.9261758
OTU2086	OTU7976	0.8102711
OTU2086	OTU8055	0.8284995
OTU2086	OTU8318	0.9128746
OTU2086	OTU8342	0.810217
OTU2179	OTU2198	0.9311617
OTU2179	OTU3638	0.9228988
OTU2198	OTU4191	0.8446901
OTU2283	OTU2506	0.8260147
OTU2283	OTU2756	0.8649838
OTU2283	OTU2770	0.8313336
OTU2283	OTU3067	0.8686598
OTU2283	OTU360	0.814508
OTU2283	OTU373	0.8330207
OTU2283	OTU3806	0.8829951
OTU2283	OTU3984	0.8663088
OTU2283	OTU3987	0.8514017
OTU2283	OTU3992	0.8230644
OTU2283	OTU4132	0.8347437
OTU2283	OTU4387	0.8947093
OTU2283	OTU442	0.8730715
OTU2283	OTU4803	0.9118499
OTU2283	OTU4838	0.8399498
OTU2283	OTU5576	0.8952163
OTU2283	OTU5653	0.94236
OTU2283	OTU5783	0.8876849
OTU2283	OTU6541	0.8088686
OTU2283	OTU6594	0.9220397
OTU2283	OTU6680	0.9050172
OTU2283	OTU6816	0.8475882
OTU2283	OTU6898	0.8143288
OTU2283	OTU7083	0.9427567
OTU2283	OTU7092	0.9185219
OTU2283	OTU7644	0.8626121
OTU2283	OTU8195	0.8979863
OTU2283	OTU8275	0.8329699
OTU2283	OTU8342	0.8269782
OTU2283	OTU8657	0.8853415
OTU2283	OTU8678	0.8726573
OTU2283	OTU8804	0.8479382
OTU2283	OTU8876	0.9767279
OTU2301	OTU4815	0.836119
OTU2301	OTU5765	0.8092215
OTU2301	OTU8658	0.8200804
OTU2340	OTU2824	0.82714
OTU2340	OTU4793	0.9167793
OTU2340	OTU5128	0.8350156
OTU2340	OTU5649	0.8081803
OTU2340	OTU6480	0.8546708
OTU2340	OTU7907	0.892616
OTU2340	OTU8538	0.8845478
OTU2351	OTU7911	0.8198172
OTU2481	OTU8976	0.8271859
OTU2502	OTU4426	-0.8225774
OTU2506	OTU3806	0.9298055
OTU2506	OTU4132	0.8558171
OTU2506	OTU442	0.8108707
OTU2506	OTU5465	0.8311928
OTU2506	OTU5653	0.8398362
OTU2506	OTU7083	0.8308585
OTU2506	OTU8678	0.8633298
OTU2506	OTU8876	0.8625302
OTU2536	OTU2640	0.8467657
OTU2536	OTU442	0.8231968
OTU2536	OTU4803	0.8099551
OTU2536	OTU6594	0.8125002
OTU2536	OTU6680	0.8267162
OTU2536	OTU7092	0.8466922
OTU2536	OTU8195	0.8135845
OTU2537	OTU4238	0.8333994
OTU2537	OTU4613	0.8083468
OTU2537	OTU6578	0.8485191
OTU2537	OTU6841	0.8155539
OTU2537	OTU8085	0.8974052
OTU2581	OTU4132	0.8108634
OTU2589	OTU3984	0.8288104
OTU2589	OTU6578	0.8960677
OTU2589	OTU8085	0.8484279
OTU2628	OTU5837	0.8310833
OTU2640	OTU3418	0.8538522
OTU2640	OTU4296	-0.8586708
OTU2640	OTU6496	0.8250989
OTU2640	OTU7644	0.8359475
OTU2727	OTU3142	0.8185804
OTU2727	OTU5455	0.856263
OTU2744	OTU3418	0.8276859
OTU2756	OTU3806	0.8981347
OTU2756	OTU3992	0.833831
OTU2756	OTU4132	0.8607933
OTU2756	OTU442	0.8533616
OTU2756	OTU5465	0.811223
OTU2756	OTU5783	0.8328338
OTU2756	OTU7440	0.8290684
OTU2756	OTU7644	0.8586203
OTU2756	OTU8678	0.8302509
OTU2756	OTU8876	0.8686435
OTU2759	OTU6656	0.8170743
OTU2759	OTU8538	0.8341444
OTU2763	OTU3806	0.8641326
OTU2765	OTU4187	0.9046511
OTU2765	OTU5475	0.9035026
OTU2770	OTU3488	0.8581571
OTU2770	OTU4132	0.8736918
OTU2770	OTU5570	0.8616171
OTU2770	OTU5783	0.8123671
OTU2770	OTU6543	0.867226
OTU2770	OTU6578	0.8684867
OTU2770	OTU6602	0.8114897
OTU2770	OTU6841	0.8743272
