from	to	corP
OTU1028	OTU1388	0.8191686
OTU1028	OTU6254	0.8833816
OTU1028	OTU6841	0.8233859
OTU1028	OTU7083	0.8362484
OTU1028	OTU8804	0.8507317
OTU1036	OTU6254	0.8589276
OTU1036	OTU6841	0.8208486
OTU1036	OTU7549	0.8178662
OTU1036	OTU8804	0.8379193
OTU1080	OTU7744	0
OTU110	OTU2179	0.8866608
OTU110	OTU2198	0.8329966
OTU110	OTU8418	0.8198094
OTU1108	OTU3638	0.8779428
OTU1108	OTU5938	0.8783304
OTU1108	OTU7038	0.8571464
OTU1108	OTU8583	0.8999529
OTU1119	OTU1936	0
OTU1119	OTU2623	0
OTU1119	OTU6254	0.8783468
OTU1119	OTU6841	0
OTU1119	OTU8804	0
OTU1189	OTU4883	0.8581605
OTU1208	OTU7443	-0.8589267
OTU1280	OTU1605	0.8692805
OTU1280	OTU1874	0.8709353
OTU1280	OTU1898	0
OTU1280	OTU1936	0.8242007
OTU1280	OTU2086	0.8175108
OTU1280	OTU2283	0.8120682
OTU1280	OTU2340	0.8361272
OTU1280	OTU2506	0.910185
OTU1280	OTU3536	0.8165018
OTU1280	OTU373	0.8257813
OTU1280	OTU3806	0.8514341
OTU1280	OTU3984	0.84586
OTU1280	OTU3992	0.8758475
OTU1280	OTU4132	0.8802782
OTU1280	OTU4412	0.8741731
OTU1280	OTU442	0
OTU1280	OTU455	0.866684
OTU1280	OTU4815	0
OTU1280	OTU4838	0.8669991
OTU1280	OTU5092	0.8160877
OTU1280	OTU5128	0.8166952
OTU1280	OTU5340	0.8273037
OTU1280	OTU5429	0.8446708
OTU1280	OTU5465	0.8544601
OTU1280	OTU5576	0.8945594
OTU1280	OTU5783	0.8699223
OTU1280	OTU6403	0.8663679
OTU1280	OTU6841	0.844606
OTU1280	OTU6847	0.840986
OTU1280	OTU7440	0.859414
OTU1280	OTU7527	0.8479487
OTU1280	OTU7644	0.9203319
OTU1280	OTU7744	0.8144199
OTU1280	OTU8055	0.8164849
OTU1280	OTU8195	0.9257183
OTU1280	OTU8657	0.849331
OTU1280	OTU8678	0.8653324
OTU1280	OTU8700	0.8384303
OTU1280	OTU8976	0
OTU1282	OTU1605	0.8733469
OTU1282	OTU1874	0.838524
OTU1282	OTU2561	0.8313897
OTU1282	OTU3439	0
OTU1282	OTU3536	0.8361296
OTU1282	OTU3806	0.8342682
OTU1282	OTU3992	0
OTU1282	OTU4132	0.8313218
OTU1282	OTU442	0.8214041
OTU1282	OTU455	0.8723752
OTU1282	OTU4838	0.8895112
OTU1282	OTU5092	0.811713
OTU1282	OTU5465	0
OTU1282	OTU5783	0.8546409
OTU1282	OTU7644	0.82747
OTU1282	OTU7907	0.8135989
OTU1282	OTU8195	0.8217136
OTU1282	OTU8657	0.832489
OTU1282	OTU8658	0.8222465
OTU1282	OTU8678	0.8414657
OTU1282	OTU8700	0.8750777
OTU1282	OTU8876	0.8218024
OTU1285	OTU1452	0.8108692
OTU1316	OTU6454	0
OTU1316	OTU7426	-0.8319428
OTU1319	OTU4186	0.8290127
OTU1321	OTU1402	0.8156221
OTU1321	OTU1898	0
OTU1321	OTU318	0.8254294
OTU1321	OTU3536	0.8480985
OTU1345	OTU3638	0.8193847
OTU1345	OTU8583	0.8835128
OTU1365	OTU3169	0.8464023
OTU1393	OTU6546	-0.8526086
OTU1425	OTU1452	0.8391415
OTU1425	OTU2598	0.8107471
OTU1425	OTU2854	0.8123251
OTU1425	OTU2935	0.8199909
OTU1425	OTU4690	0.8134412
OTU1425	OTU4815	0.8978434
OTU1425	OTU5128	0.8511893
OTU1425	OTU5570	0.9153463
OTU1425	OTU5765	0.8471476
OTU1425	OTU6602	0.9251998
OTU1425	OTU7503	0.8440606
OTU1425	OTU7549	0.8305124
OTU1425	OTU7800	0.8690646
OTU1425	OTU7976	0.9309628
OTU1425	OTU8318	0.8233241
OTU1425	OTU8557	0.8230033
OTU1425	OTU8822	0
OTU1452	OTU1756	0.825458
OTU1452	OTU2086	0.8295047
OTU1452	OTU2506	0
OTU1452	OTU2589	0.8278407
OTU1452	OTU3962	0.8149773
OTU1452	OTU4132	0.8261953
OTU1452	OTU4815	0.8536947
OTU1452	OTU4883	0.8141795
OTU1452	OTU7503	0.8564912
OTU1452	OTU7549	0.8229652
OTU1452	OTU7976	0.8302449
OTU1452	OTU8055	0.8248931
OTU1465	OTU2598	0
OTU1480	OTU6254	0
OTU1480	OTU8804	0
OTU1605	OTU1621	0.8465307
OTU1605	OTU1707	0.8132435
OTU1605	OTU1874	0.9202646
OTU1605	OTU2283	0.8291891
OTU1605	OTU2506	0.828882
OTU1605	OTU2536	0.8134078
OTU1605	OTU2643	0.8337717
OTU1605	OTU3536	0.8949647
OTU1605	OTU3806	0.8627146
OTU1605	OTU3984	0.8529132
OTU1605	OTU3992	0.8284712
OTU1605	OTU4132	0.859755
OTU1605	OTU4412	0.8537668
OTU1605	OTU442	0.8460305
OTU1605	OTU455	0.8896396
OTU1605	OTU4838	0.8874649
OTU1605	OTU5092	0.859999
OTU1605	OTU530	0.8182075
OTU1605	OTU5429	0.826978
OTU1605	OTU5465	0.844659
OTU1605	OTU5783	0.8810317
OTU1605	OTU6841	0.835532
OTU1605	OTU6854	0
OTU1605	OTU7083	0.80961
OTU1605	OTU7092	0.8591647
OTU1605	OTU7424	0.8580667
OTU1605	OTU7644	0.8306799
OTU1605	OTU8195	0.8888744
OTU1605	OTU8657	0.8369226
OTU1605	OTU8700	0.9048483
OTU1605	OTU8876	0.8251612
OTU1605	OTU896	0.8711088
OTU1621	OTU1874	0
OTU1621	OTU2506	0.8331754
OTU1621	OTU3806	0.8207729
OTU1621	OTU442	0.8291024
OTU1621	OTU4838	0.8284137
OTU1621	OTU5092	0.8640059
OTU1621	OTU5429	0.8218526
OTU1621	OTU5783	0.8834323
OTU1621	OTU6841	0.864115
OTU1621	OTU7083	0.8427183
OTU1621	OTU7092	0
OTU1621	OTU7424	0.8159749
OTU1621	OTU8195	0.8397969
OTU1621	OTU8657	0
OTU1621	OTU8658	0.8529009
OTU1621	OTU8678	0
OTU1675	OTU1677	0.8376092
OTU1675	OTU2086	0.8766606
OTU1675	OTU2340	0.9079559
OTU1675	OTU250	0.8211015
OTU1675	OTU3806	0.8580428
OTU1675	OTU3984	0.8331939
OTU1675	OTU4132	0.817539
OTU1675	OTU442	0.8556265
OTU1675	OTU455	0.8281954
OTU1675	OTU4649	0.8415211
OTU1675	OTU5465	0.8371843
OTU1675	OTU5576	0.8428621
OTU1675	OTU5649	0.8313067
OTU1675	OTU7440	0
OTU1675	OTU7644	0.8401311
OTU1675	OTU7744	0.8653702
OTU1675	OTU791	0.8199828
OTU1675	OTU8446	0.8295146
OTU1675	OTU8657	0.8277475
OTU1675	OTU8678	0
OTU1677	OTU1756	0.8088599
OTU1677	OTU1936	0.8121274
OTU1677	OTU2086	0.9332031
OTU1677	OTU2340	0.8634529
OTU1677	OTU250	0.8983267
OTU1677	OTU2506	0.8157058
OTU1677	OTU284	0
OTU1677	OTU373	0.8527503
OTU1677	OTU3806	0.8189735
OTU1677	OTU4132	0
OTU1677	OTU442	0.8346148
OTU1677	OTU455	0.8632654
OTU1677	OTU4649	0.8537352
OTU1677	OTU4665	0.8441658
OTU1677	OTU4838	0
OTU1677	OTU5340	0.8833095
OTU1677	OTU5465	0.8574152
OTU1677	OTU5576	0.8503803
OTU1677	OTU5649	0.8436905
OTU1677	OTU6403	0.8721095
OTU1677	OTU7249	0.8292394
OTU1677	OTU7440	0.8183795
OTU1677	OTU7471	0.8154261
OTU1677	OTU7549	0.8139443
OTU1677	OTU7644	0.834905
OTU1677	OTU7744	0.8746996
OTU1677	OTU7907	0.8559723
OTU1677	OTU8055	0.8880462
OTU1677	OTU8657	0.8184446
OTU1677	OTU8678	0.8340848
OTU1677	OTU8729	0.8126372
OTU1677	OTU8732	0.8308195
OTU1693	OTU994	0.8228797
OTU1694	OTU4883	0.8493055
OTU1704	OTU4706	0
OTU1704	OTU5783	0
OTU1704	OTU7907	0.8536038
OTU1704	OTU8657	0
