OTU1006			4		2			1	2	1	1			1	1	3	1			
OTU1028	2	3	6	3	6	3	1	4	9	4	4	6	1	3	6	3	1		13	7
OTU103	3	4	7	2	4	13	3	2	3	2	22	2	2	3		4	4	8	3	10
OTU1030	2		5	1	2	3	3			3	1				1	2	1		2	
OTU1036	5	5			2	3	2	2	4	2	4	3	4	1	1	5	2		5	4
OTU107	2		2			1	1		1		4		1	1		6		1		2
OTU1080	29	52	53	28	52	56	64	30	76	32	79	18	39	37	26	33	38	33	36	64
OTU1099	3		9	2	2	3	7	6	3	6	11	3	2	7	3	1	5	4	6	6
OTU110	26	88	68	244	195	158	52	85	43	142	329	56	102	76	132	136	179	76	60	70
OTU1108	3	136	72	6	186	423	54	28	98	2	515	48	841	156	4	308	21	262	8	21
OTU1109	1	1	1		1			1		1		1				1			3	2
OTU1119	3	6	9	4	3	6	2	5	3	1	19	1	3	4	3	5	8	4	17	6
OTU1120			2		1	3	4		1	2	1	2			1			1	3	
OTU1123			1			2	1		1	1	4				1	1	2		3	1
OTU1133			1	1		1	1	2	1	1	1			1	1	1			2	
OTU118	1	1	1	1	2					1		2			3		1		1	
OTU1189	3	12	13	5	1	6	8	6	11	10	7	3	11	7	7	3	3	4	25	15
OTU1225	1	4	4	1	5	3	2	4	7	2	8	3	1	1	1	3	1	1	13	
OTU123	1			1		1			1				1		1	1	1	2	1	1
OTU1280	3	1	14	5	5	7	4	5	5	5	6	3	1	4	4	5	7	4	11	4
OTU1282		1	9	4		1	1	1	5	2		1		2	2	2	1	2	2	4
OTU1285			2			3	1		3	1		2	1		1	1		1		3
OTU1287		1	6			1	3	3	2		1		1	2	2	1		1	5	5
OTU1296		1	1	1	1			1			3				2	1	1		2	
OTU1300	1	1	5	1					1		5	1		1		1	1	2	4	1
OTU1301		2	1		6	3		1	4	1	4	2	2	1	1	4		2	5	4
OTU1305	2	2	2	5	6	10	5	6	4	4	27	2	7	8	4	4	4	5	8	2
OTU1314		2	3	3		2	1	1	4	1			1		1	4	1		6	
OTU1319	3	5	6	1	7	5	3	2	8	4	2	2	2	5	9	2	1	5	10	8
OTU1321	3	11	17	7	13	12	16	6	21	10	17	7	9	10	4	5	7	7	24	11
OTU1324	1	1	2		2	3	1	1							1	2	1		1	
OTU1345	2	29	17	6	39	26	21	9	15	3	134	25	71	39	14	68	34	41	1	12
OTU1365	2	2	7	4	5	8	5	2	4	11	13	1	3		3	4	7	2	6	3
OTU1372		4	12		2	3	1	4	3	2	9	1	1	2	2	1		4	4	7
OTU1382		1	5	5	2	5	1		2	1	19		6	5	4	6	2	2	1	2
OTU1385			2	1	1		2	3	2	3	1	1		2			3		3	
OTU1388		1	3	2		1		1		2	1	2	1		1				7	
OTU1393	2	1	3		1	1			2	2	4			2			1	1		
OTU1402	6	17	24	5	29	24	15	6	19	6	26	10	14	8	3	17	8	8	33	20
