DATASET_COLORSTRIP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#bebada
DATASET_LABEL	OnlyC
LEGEND_COLORS	#E18727FF	#FFFFFF
LEGEND_LABELS	C	NA
LEGEND_SHAPES	1	1
LEGEND_TITLE	OnlyC
MARGIN	5
STRIP_WIDTH	25
DATA
OTU4132	#E18727FF	C
OTU2442	#E18727FF	C
OTU4803	#E18727FF	C
OTU5576	#E18727FF	C
OTU3169	#E18727FF	C
OTU8919	#E18727FF	C
OTU455	#E18727FF	C
OTU1452	#E18727FF	C
OTU7782	#E18727FF	C
OTU5455	#E18727FF	C
OTU8418	#E18727FF	C
OTU8275	#E18727FF	C
OTU3984	#E18727FF	C
OTU1425	#E18727FF	C
OTU6602	#E18727FF	C
OTU2283	#E18727FF	C
OTU2405	#E18727FF	C
OTU2866	#E18727FF	C
OTU2086	#E18727FF	C
OTU1119	#E18727FF	C
OTU4759	#E18727FF	C
OTU4884	#E18727FF	C
OTU3671	#E18727FF	C
OTU8876	#FFFFFF	NA
OTU7744	#FFFFFF	NA
OTU3806	#E18727FF	C
OTU6403	#FFFFFF	NA
OTU5465	#E18727FF	C
OTU8700	#FFFFFF	NA
OTU3992	#FFFFFF	NA
OTU7440	#FFFFFF	NA
OTU5837	#E18727FF	C
OTU3391	#E18727FF	C
OTU7083	#E18727FF	C
OTU5653	#E18727FF	C
OTU4812	#E18727FF	C
OTU3271	#E18727FF	C
OTU4187	#E18727FF	C
OTU4659	#E18727FF	C
OTU6512	#E18727FF	C
OTU5090	#E18727FF	C
OTU7765	#E18727FF	C
OTU4544	#E18727FF	C
OTU7907	#E18727FF	C
OTU1685	#E18727FF	C
OTU284	#E18727FF	C
OTU8195	#FFFFFF	NA
OTU4815	#E18727FF	C
OTU1954	#FFFFFF	NA
OTU4883	#FFFFFF	NA
OTU2340	#FFFFFF	NA
OTU4649	#FFFFFF	NA
OTU4331	#FFFFFF	NA
OTU8657	#FFFFFF	NA
OTU8804	#FFFFFF	NA
OTU7644	#FFFFFF	NA
OTU4412	#FFFFFF	NA
OTU1402	#FFFFFF	NA
OTU3987	#FFFFFF	NA
OTU5570	#FFFFFF	NA
OTU1080	#FFFFFF	NA
OTU6841	#FFFFFF	NA
OTU8678	#FFFFFF	NA
OTU5765	#FFFFFF	NA
OTU8055	#FFFFFF	NA
OTU8434	#FFFFFF	NA
OTU7976	#FFFFFF	NA
OTU7997	#FFFFFF	NA
OTU8085	#E18727FF	C
OTU6609	#E18727FF	C
OTU3524	#E18727FF	C
OTU6780	#E18727FF	C
OTU5128	#E18727FF	C
OTU1280	#E18727FF	C
OTU2589	#E18727FF	C
OTU1936	#E18727FF	C
OTU4793	#E18727FF	C
OTU3488	#E18727FF	C
OTU4865	#E18727FF	C
OTU1756	#FFFFFF	NA
OTU1874	#FFFFFF	NA
OTU8658	#FFFFFF	NA
OTU2581	#FFFFFF	NA
OTU5146	#FFFFFF	NA
OTU6622	#FFFFFF	NA
OTU5649	#FFFFFF	NA
OTU4387	#FFFFFF	NA
OTU2506	#FFFFFF	NA
OTU442	#FFFFFF	NA
OTU6254	#FFFFFF	NA
OTU5092	#FFFFFF	NA
OTU7424	#FFFFFF	NA
OTU2847	#E18727FF	C
OTU4788	#E18727FF	C
OTU2753	#FFFFFF	NA
OTU6234	#FFFFFF	NA
OTU5151	#FFFFFF	NA
OTU3764	#FFFFFF	NA
