DATASET_COLORSTRIP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#bebada
DATASET_LABEL	OnlyM
LEGEND_COLORS	#0072B5FF	#FFFFFF
LEGEND_LABELS	M	NA
LEGEND_SHAPES	1	1
LEGEND_TITLE	OnlyM
MARGIN	5
STRIP_WIDTH	25
DATA
OTU4132	#0072B5FF	M
OTU2442	#FFFFFF	NA
OTU4803	#FFFFFF	NA
OTU5576	#FFFFFF	NA
OTU3169	#0072B5FF	M
OTU8919	#FFFFFF	NA
OTU455	#0072B5FF	M
OTU1452	#FFFFFF	NA
OTU7782	#FFFFFF	NA
OTU5455	#FFFFFF	NA
OTU8418	#FFFFFF	NA
OTU8275	#FFFFFF	NA
OTU3984	#0072B5FF	M
OTU1425	#0072B5FF	M
OTU6602	#FFFFFF	NA
OTU2283	#0072B5FF	M
OTU2405	#FFFFFF	NA
OTU2866	#FFFFFF	NA
OTU2086	#0072B5FF	M
OTU1119	#FFFFFF	NA
OTU4759	#FFFFFF	NA
OTU4884	#FFFFFF	NA
OTU3671	#FFFFFF	NA
OTU8876	#0072B5FF	M
OTU7744	#0072B5FF	M
OTU3806	#0072B5FF	M
OTU6403	#0072B5FF	M
OTU5465	#0072B5FF	M
OTU8700	#0072B5FF	M
OTU3992	#0072B5FF	M
OTU7440	#0072B5FF	M
OTU5837	#0072B5FF	M
OTU3391	#FFFFFF	NA
OTU7083	#0072B5FF	M
OTU5653	#0072B5FF	M
OTU4812	#FFFFFF	NA
OTU3271	#FFFFFF	NA
OTU4187	#FFFFFF	NA
OTU4659	#FFFFFF	NA
OTU6512	#FFFFFF	NA
OTU5090	#FFFFFF	NA
OTU7765	#FFFFFF	NA
OTU4544	#FFFFFF	NA
OTU7907	#FFFFFF	NA
OTU1685	#FFFFFF	NA
OTU284	#FFFFFF	NA
OTU8195	#0072B5FF	M
OTU4815	#0072B5FF	M
OTU1954	#0072B5FF	M
OTU4883	#0072B5FF	M
OTU2340	#0072B5FF	M
OTU4649	#0072B5FF	M
OTU4331	#0072B5FF	M
OTU8657	#0072B5FF	M
OTU8804	#0072B5FF	M
OTU7644	#0072B5FF	M
OTU4412	#0072B5FF	M
OTU1402	#0072B5FF	M
OTU3987	#0072B5FF	M
OTU5570	#0072B5FF	M
OTU1080	#0072B5FF	M
OTU6841	#0072B5FF	M
OTU8678	#0072B5FF	M
OTU5765	#0072B5FF	M
OTU8055	#0072B5FF	M
OTU8434	#0072B5FF	M
OTU7976	#0072B5FF	M
OTU7997	#0072B5FF	M
OTU8085	#FFFFFF	NA
OTU6609	#FFFFFF	NA
OTU3524	#FFFFFF	NA
OTU6780	#FFFFFF	NA
OTU5128	#0072B5FF	M
OTU1280	#0072B5FF	M
OTU2589	#FFFFFF	NA
OTU1936	#FFFFFF	NA
OTU4793	#FFFFFF	NA
OTU3488	#FFFFFF	NA
OTU4865	#FFFFFF	NA
OTU1756	#0072B5FF	M
OTU1874	#0072B5FF	M
OTU8658	#0072B5FF	M
OTU2581	#0072B5FF	M
OTU5146	#0072B5FF	M
OTU6622	#0072B5FF	M
OTU5649	#0072B5FF	M
OTU4387	#0072B5FF	M
OTU2506	#0072B5FF	M
OTU442	#0072B5FF	M
OTU6254	#0072B5FF	M
OTU5092	#0072B5FF	M
OTU7424	#0072B5FF	M
OTU2847	#FFFFFF	NA
OTU4788	#FFFFFF	NA
OTU2753	#0072B5FF	M
OTU6234	#0072B5FF	M
OTU5151	#0072B5FF	M
OTU3764	#0072B5FF	M
