OTUID	C051	C052	C053	C121	C122	C123	C301	C302	C303	H051	H052	H053	H121	H122	H123	H301	H302	H303	M051	M052	M053	M121	M122	M123	M301	M302	M303
OTU_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10	0	0	0	4448	2998	2169	5881	0	0	0	0	0	0	3856	2890	4953	0	0	0	0	0	0	0	0	0	0	0
OTU_100	0	0	0	4	0	0	0	0	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1000	17	9	6	101	18	16	35	57	32	3	2	3	6	11	7	30	97	11	13	56	30	357	52	10	51	30	0
OTU_1001	1	0	6	387	157	112	44	150	346	16	2	0	134	204	92	39	60	54	0	0	0	0	0	0	0	38	0
OTU_1002	43	25	20	295	32	76	250	143	63	25	20	112	14	16	7	80	144	12	18	34	10	19	12	7	13	115	19
OTU_1003	0	1	0	30	0	1	26	255	5	0	0	0	0	3	0	6	4	4	0	0	0	0	0	0	0	254	0
OTU_1004	5	10	9	39	16	7	18	11	14	7	5	11	20	12	7	39	25	12	17	53	24	33	19	10	4	5	16
OTU_1005	0	4	0	0	8	1	190	1	18	2	4	2	2	12	6	30	141	54	1	0	2	22	24	0	66	0	16
OTU_1006	0	0	0	0	0	0	25	65	38	0	0	0	0	0	0	36	82	57	0	0	0	0	0	0	0	12	0
OTU_1007	3	0	2	9	1	7	21	29	174	10	1	0	22	4	4	12	13	22	0	0	0	1	0	0	47	12	0
OTU_1008	0	0	0	0	0	0	2	2	0	0	0	1	2	0	0	2	1	1	20	3	19	44	30	1	10	0	27
OTU_1009	2	0	5	48	27	30	34	13	16	3	0	0	5	12	11	2	2	10	0	0	0	1	0	0	0	7	1
OTU_101	0	0	0	0	1	0	0	1	3	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0
OTU_1010	0	0	0	0	0	0	0	2	17	0	0	0	0	0	0	1	70	2	0	0	0	0	0	0	0	0	0
OTU_1011	28	28	33	4	12	31	0	0	0	20	7	0	12	17	16	0	0	10	0	0	6	5	14	7	0	0	8
OTU_1012	13	0	4	10	4	5	0	0	0	2	0	0	5	11	9	0	0	1	0	0	1	4	0	0	0	0	3
OTU_1013	0	0	0	0	0	0	45	0	9	0	0	0	0	0	0	20	7	16	0	0	0	0	0	0	0	0	0
OTU_1014	9	12	13	4	3	5	5	6	3	4	4	8	7	15	10	5	6	9	1	0	0	0	7	8	0	7	2
OTU_1015	4	5	3	9	0	3	0	0	0	0	2	4	2	1	2	0	0	3	1	7	0	7	0	0	4	0	1
OTU_1016	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	6	2	7	0	0	0	0	0	0	32	2	0
OTU_1017	11	7	9	2	0	5	0	0	0	2	5	9	3	8	2	0	1	11	0	0	0	1	1	0	0	0	0
OTU_1018	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2	0
OTU_1019	0	6	6	3	4	30	6	0	9	2	1	0	3	1	5	0	2	26	0	0	0	0	0	0	0	7	0
OTU_102	0	0	0	1	7	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	0	0	0
OTU_1020	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2
OTU_1021	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	4	0
OTU_1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
OTU_1023	30	38	18	3	19	35	0	0	4	31	9	16	9	9	21	0	1	10	0	1	4	5	12	11	0	4	5
OTU_1024	10	4	0	1	0	3	1	0	0	5	0	1	4	8	3	0	1	2	4	1	8	3	16	8	0	0	6
OTU_1025	0	0	0	3	0	1	0	1	0	0	0	0	3	5	0	0	1	2	0	0	0	0	0	0	0	0	1
OTU_1026	0	1	3	0	1	0	4	0	1	5	2	2	1	2	0	2	0	0	0	0	2	7	2	1	0	0	8
OTU_1027	78	61	26	314	72	42	334	173	44	67	79	33	122	205	111	120	152	139	1	5	29	115	18	6	2	197	70
OTU_1028	1	0	0	3	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0
OTU_1029	2	7	1	3	3	1	0	0	0	1	2	1	9	3	1	0	0	3	7	2	7	1	2	0	0	0	1
OTU_103	0	0	0	0	2	0	1	4	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
OTU_1030	1	1	0	4	1	1	0	0	1	2	0	2	0	4	0	0	0	1	0	0	1	1	0	0	0	0	0
OTU_1031	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0
OTU_1032	6	7	0	2	1	4	12	3	3	4	5	3	5	4	9	1	12	7	13	3	7	4	5	5	0	19	1
OTU_1033	0	0	0	13	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	3	1	1	0	0	1
OTU_1034	0	1	0	0	4	1	0	0	0	1	0	0	1	1	0	4	0	2	0	0	0	0	0	0	0	0	0
OTU_1035	8	13	14	8	2	8	0	0	3	5	21	0	4	9	2	0	0	1	0	2	2	2	3	8	1	1	2
OTU_1036	19	28	14	13	12	36	11	4	7	19	6	6	17	13	14	2	8	10	0	0	0	5	0	0	32	17	0
OTU_1037	6	9	16	0	3	3	3	0	0	11	3	4	10	1	3	0	3	1	0	0	1	2	10	6	0	11	1
OTU_1038	5	0	1	51	152	239	22	35	35	3	0	0	5	10	22	7	2	14	0	0	0	0	0	0	0	14	0
OTU_1039	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
OTU_104	0	0	0	1	0	2	2	0	3	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0
OTU_1040	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
