OTUID	Phylum	Class	Order	Family
OTU_1	p_Firmicutes	c_Limnochordia	o_M55-D21	f_uncultured__bacterium
OTU_4	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_Rubritaleaceae
OTU_9	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_Rubritaleaceae
OTU_18	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_LK-44f
OTU_2	p_Latescibacterota	c_uncultured__organism	o_uncultured	f_uncultured
OTU_3	p_Firmicutes	c_Moorellia	o_Desulfitibacterales	f_Desulfitibacteraceae
OTU_8	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Clostridiaceae
OTU_13	p_Latescibacterota	c_Latescibacteria	o_Latescibacterales	f_Latescibacteraceae
OTU_6	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_LK-44f
OTU_14	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_MSBL8
OTU_11	p_Thermotogota	c_Thermotogae	o_Kosmotogales	f_Kosmotogaceae
OTU_12	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_MSBL8
OTU_10	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	f_Desulfovibrionaceae
OTU_5	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	f_Desulfovibrionaceae
OTU_16	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Clostridiaceae
OTU_7	p_Firmicutes	c_Clostridia	o_Peptococcales	f_Peptococcaceae
OTU_15	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	f_Desulfocapsaceae
OTU_17	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae
OTU_19	p_Spirochaetota	c_Spirochaetia	o_Spirochaetales	f_Spirochaetaceae
OTU_21	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Clostridiaceae
OTU_20	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae
OTU_24	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_LK-44f
OTU_25	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_LK-44f
OTU_26	p_Firmicutes	c_Clostridia	o_uncultured	f_uncultured__organism
OTU_28	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_LK-44f
OTU_33	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	f_Schleiferiaceae
OTU_32	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfobacteraceae
OTU_34	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_LK-44f
OTU_36	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_LK-44f
OTU_37	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_MSBL8
OTU_23	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	f_Marinifilaceae
OTU_41	p_Firmicutes	c_Clostridia	o_Peptococcales	f_Peptococcaceae
OTU_40	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfolunaceae
OTU_44	p_Marinimicrobia__(SAR406__clade)	c_uncultured__eubacterium__AB16	o_uncultured	f_uncultured
OTU_43	p_Firmicutes	c_Syntrophomonadia	o_Syntrophomonadales	f_Syntrophomonadaceae
OTU_46	p_Firmicutes	c_Clostridia	o_Peptococcales	f_Peptococcaceae
OTU_22	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Clostridiaceae
OTU_29	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_LK-44f
OTU_31	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae
