Species	M1	M2	TtestS	TtestP
S1	1CK	2Pro	-6.88634926335954	0.00160564443976162
S1	1CK	3Ori	-9.87884946077753	0.000327518265645065
S1	1CK	4Met	-6.07398428139886	0.00316113949572952
S1	1CK	5B7	-4.45868473238185	0.0103911522289642
S1	1CK	6B12	-4.28790356297211	0.00930696937083729
S1	1CK	7Cys	-1.22186737882302	0.285227430858113
S1	1CK	8Iso	3.28507396749568	0.016796511281814
S1	2Pro	3Ori	-1.73908391550496	0.120425678785808
S1	2Pro	4Met	-1.04216581907538	0.331464033387794
S1	2Pro	5B7	-0.515572260976909	0.623918860800123
S1	2Pro	6B12	2.65302285466173	0.0301287778832412
S1	2Pro	7Cys	3.30419964059789	0.011858302948416
S1	2Pro	8Iso	7.96386812098495	0.000344535225019908
S1	3Ori	4Met	0.313387356705929	0.763364707431442
S1	3Ori	5B7	0.642291925342182	0.544560669073379
S1	3Ori	6B12	4.69103279079825	0.00162675660286244
S1	3Ori	7Cys	4.87160349441075	0.00166710032924459
S1	3Ori	8Iso	10.8045830271018	5.63143877873884e-05
S1	4Met	5B7	0.331171788706422	0.749424540949353
S1	4Met	6B12	3.16481704143891	0.018145384968675
S1	4Met	7Cys	3.72893292626242	0.00590052342519758
S1	4Met	8Iso	6.95563573178099	0.0012154345516953
S1	5B7	6B12	2.26263336277039	0.0677267687277868
S1	5B7	7Cys	2.91449422376948	0.0215365418801075
S1	5B7	8Iso	5.23249366390617	0.00473832006326699
S1	6B12	7Cys	1.30678823983652	0.234304059035376
S1	6B12	8Iso	5.67667586601095	0.00125752346321356
S1	7Cys	8Iso	2.33841899364304	0.0681553683535386
S2	1CK	2Pro	-0.473744664554881	0.655046283164862
S2	1CK	3Ori	-1.57076779509235	0.185235480999861
S2	1CK	4Met	-0.092242885512362	0.92950806176287
S2	1CK	5B7	-1.11525224176139	0.302484042714783
S2	1CK	6B12	-1.34085746091186	0.262523623367829
S2	1CK	7Cys	-4.21446138871013	0.0152944821223099
S2	1CK	8Iso	0.233863550027004	0.826217632488328
S2	2Pro	3Ori	-1.34543435489765	0.237811699994863
S2	2Pro	4Met	0.401136299265054	0.704313463156146
S2	2Pro	5B7	-0.4974604767592	0.635105000914575
S2	2Pro	6B12	-0.333025521469543	0.759930071138995
S2	2Pro	7Cys	-3.64384658985408	0.0165976330202909
S2	2Pro	8Iso	0.703644134779375	0.525647467928093
S2	3Ori	4Met	1.54225486848133	0.191717678624428
S2	3Ori	5B7	1.14599474708692	0.306716320020646
S2	3Ori	6B12	1.30364336514929	0.261911704303699
S2	3Ori	7Cys	-0.933504765311938	0.384854882665828
S2	3Ori	8Iso	1.65572108768023	0.171814908220883
S2	4Met	5B7	-1.03478786286427	0.335969520961523
S2	4Met	6B12	-1.20428391383714	0.305708279028298
S2	4Met	7Cys	-4.16564578058129	0.0157671096349458
S2	4Met	8Iso	0.351114682974624	0.742739674781315
S2	5B7	6B12	0.362274874483572	0.734316285477132
