OTUID	C00120	C00194	C03492	C00062	C00097	C00025	C00135	C00407	C00123	C00047	C00073	C00077	C00079	C00148	C00065	C00188	C00078	C00082	C05819	C00003	C03313	C00032	C00018	C00016	C00101	C00068	C00390	C00105	C00130
GCA_000007325	0.666666667	0.857142857	0	0	0.166666667	0.090909091	0	0.2	0	0	0.428571429	0	0	0	0	0.2	0	0	0.111111111	1	0	0.7	0	1	0.8	0.428571429	0	0.666666667	1
GCA_000170815	0	0.142857143	0.4	0.666666667	1	0.272727273	1	1	1	0.857142857	1	0.25	0	0.5	0.666666667	1	0.666666667	0	0.555555556	0.875	0.285714286	1	0.5	0.857142857	1	0.571428571	0.111111111	1	1
GCA_000182945	0.666666667	0.857142857	0	0	0.166666667	0.090909091	0	0.2	0	0	0.285714286	0	0	0	0	0	0	0	0.111111111	1	0	0.6	0	1	0.8	0.428571429	0	0.666666667	1
GCA_000210015	0.333333333	0.857142857	0.2	1	1	0.090909091	0.833333333	1	1	1	0.714285714	1	0.5	1	1	1	0	0.5	0	1	0	0.7	0.166666667	1	0.8	0.714285714	0	1	1
GCA_000210075	1	0.142857143	0.6	0.666666667	1	0.181818182	1	1	1	1	0.857142857	0.5	0	0.5	0.666666667	0.8	0.666666667	0	0.555555556	1	0.285714286	0.4	0.666666667	1	1	0.75	0.111111111	1	1
GCA_000307955	1	0.857142857	0.4	1	1	0.090909091	0.666666667	1	1	1	0.714285714	1	0.5	1	0.666666667	0.8	0.666666667	0.333333333	1	1	0	1	0.166666667	0.857142857	0.4	1	0.333333333	1	1
GCA_000383355	0	0.142857143	0.4	0.666666667	0.5	0.181818182	0.166666667	1	0.666666667	0.571428571	0.714285714	0.25	0	0.5	0.666666667	1	0.666666667	0.5	0.666666667	0.875	0.285714286	1	0.5	0.285714286	0.6	0.25	0.111111111	0.666666667	0.75
GCA_000403945	1	0.857142857	0.4	1	1	0.090909091	0.5	1	0.666666667	1	0.714285714	0.75	0	0.5	0.333333333	0.6	0.333333333	0	1	0.6	0	1	1	0.714285714	0.4	0.75	0.222222222	0.666666667	0.875
GCA_000434895	1	1	0.6	1	1	0	1	0.666666667	1	1	0.857142857	1	0.5	1	1	1	1	0.5	0	0.2	0	0.7	1	1	0.4	0.571428571	0	1	1
GCA_000435615	0	0.428571429	0	0.333333333	1	0	0	0	0	0.833333333	0.285714286	0.25	0	0	0.666666667	0.8	0	0	0	0.25	0	0.4	0.166666667	0.285714286	0.6	0.2	0	0.666666667	0.75
GCA_000435715	0	0.428571429	0.4	0.333333333	0.5	0	0.166666667	1	0.666666667	0.714285714	0.714285714	0	0	0.5	0.333333333	0.6	0	0	0	0.25	0	0.2	0.166666667	0.285714286	0.6	0.2	0	0.666666667	0.625
GCA_000435835	0.333333333	0.857142857	0.4	1	1	0.090909091	0.666666667	1	1	1	0.714285714	1	0.5	1	0.333333333	1	0	0.5	0	1	0	0.7	0	1	0.8	0.714285714	0	1	1
GCA_000436095	0.666666667	0.857142857	0.4	1	0	0.090909091	0	0.333333333	0.666666667	1	0.571428571	1	0.5	1	0.666666667	1	0.666666667	0.5	0	0.25	0	0.6	0.166666667	1	0.6	0.571428571	0	1	1
GCA_000436795	0.666666667	0.142857143	0.6	0.333333333	1	0.090909091	1	1	0.333333333	0.857142857	0.571428571	0.25	0	1	1	0.2	0.666666667	0	0.666666667	1	0.285714286	0.3	0.333333333	0.857142857	0.8	0.571428571	0.111111111	1	1
GCA_000437735	0.333333333	0.714285714	0.6	1	1	0.090909091	1	1	1	0.857142857	0.714285714	1	0.5	1	0.333333333	0.6	0.666666667	0.5	0	1	0	0.7	1	1	0.8	0.714285714	0	1	1
GCA_000500915	0.333333333	0.857142857	0.6	0.666666667	0.5	0.454545455	0.833333333	0.8	1	0.888888889	0.714285714	0.75	0.5	0.5	1	0.8	1	0.666666667	0	0.5	0	0.9	0.666666667	0.714285714	0.8	0.333333333	0.444444444	1	1
GCA_000702025	0.333333333	0.857142857	0.2	1	1	0.090909091	0.833333333	1	1	1	0.857142857	1	0.5	1	0.666666667	0.8	1	0.5	0.111111111	0.4	0	0.7	0.166666667	0.285714286	1	0.714285714	0	1	1
GCA_000753575	0.666666667	0.714285714	0.2	0.333333333	1	0.181818182	0	0.25	0	0	0	0	0	0	0.333333333	0.2	0	0	0	0.8	0	0.3	0	0.285714286	0.8	0.285714286	0	0.666666667	1
GCA_000769715	1	1	0.6	1	1	0.363636364	0.5	1	1	0.857142857	0.428571429	1	0.5	1	0.666666667	0.6	1	0.333333333	0.833333333	0.8	0.142857143	1	0.666666667	0.857142857	0.4	0.5	0.222222222	1	0.875
GCA_000830415	1	0.142857143	0.6	1	1	0.8	1	1	0.666666667	0.888888889	0.714285714	0.25	0.5	1	1	0.8	1	0.5	0.777777778	0.8	0.428571429	1	0.833333333	0.857142857	1	0.714285714	0.666666667	1	1
GCA_000953675	1	0.857142857	0.4	0.333333333	1	0	0	0.6	0	0.714285714	0.428571429	0	0	0.5	0.333333333	0.4	0	0	0	0.2	0	0.8	0	1	0.6	0.428571429	0	0.666666667	1
