OTUID	checkm_completeness	checkm_contamination	checkm_marker_count	coding_density	gc_percentage	genome_size	Phylum	Class	Order	Family	Genus
GCF_000013285	100	0	332	82.03796644	28.23091746	2960088	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_P
GCA_000307955	100	0	280	87.68906333	65.70680116	4391518	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae	g_Solidesulfovibrio
GCF_006742065	80	0.08	332	84.06844373	28.50098747	4014159	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium
GCF_001558495	98.39	0.34	922	85.92489014	45.24426675	5429407	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_000014125	100	0.69	404	88.53525175	28.605404	2499706	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_H
GCF_000755385	93.08	2.91	946	84.17535615	45.93199825	5797527	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_900185645	99.31	2.61	404	86.82257625	31.36174191	3850950	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_AK
GCF_001077535	99.51	0.37	1183	83.76755484	28.35522858	4146079	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Peptostreptococcaceae	g_Clostridioides
GCF_001020205	95.63	0.69	404	79.4437331	27.90073217	3997146	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_F
GCA_001799365	91.91	0.89	280	87.60483453	55.56381744	4509726	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	Desulfocapsaceae	g_Desulforhopalus
GCF_002224265	100	0.41	922	86.36337785	46.65269023	4940901	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCA_001989995	98.55	0.41	946	74.96625419	44.62181573	4443514	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCA_900315485	81.54	2.84	247	83.6431599	50.17789016	1977289	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_RUG099
GCA_900316935	93.77	0.3	334	89.81366821	59.09615845	1927583	p_Firmicutes_C	c_Negativicutes	o_Acidaminococcales	Acidaminococcaceae	g_Succiniclasticum
GCA_002368645	87.37	4.3	278	91.53883534	45.91363475	2111376	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae	g_RF16
GCA_002371265	99.9	0	278	88.93308544	40.79251977	3771033	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae	g_UBA1723
GCA_900317885	95.97	0.45	278	93.13553257	49.51377365	2445390	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae	g_RF16
GCA_002412555	88.68	0.82	275	90.22038564	43.76845876	4254043	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinilabiliaceae	g_Geofilum
GCA_002422545	96.13	0.7	250	88.12417869	36.3227756	3583449	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae	g_Sedimentibacter
GCA_002423705	97.53	1.38	332	86.79854687	31.61131855	3786871	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_X
GCA_002439735	92.34	1.06	247	85.74467103	50.94981597	2296692	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_CAG-238
GCA_002455605	90.39	0.71	247	86.61635189	38.60670586	2687481	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_Aminipila
GCA_002482565	93.15	3.04	280	87.37528992	65.61165184	4218885	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae	g_Solidesulfovibrio
GCA_001509345	97.79	0.25	250	89.13144206	38.31988515	2512164	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Dethiosulfatibacteraceae	g_38-11
